Phase,Veterinary drug manufacturing,Wood processing,Metal surface treatment and heat treatment processing,"Coatings, printing ink, paint and similar products manufacture","Explosives, fire and fireworks product manufacturing",Environmental governance industry,Basic chemical raw materials manufacturing,Fur tanning and products processing,Ferroalloy smelting,Electronic components and electronic special materials,Glass manufacturing,Battery manufacturing,Steelmaking,Unspecified,Gas drilling,Commonly used non-ferrous metal acquisition,Noble metal smelting,Synthetic materials manufacturing,Commonly used non-ferrous metal smelting,Lighting appliance manufacturing,Universal instruments manufacturing,Arts and crafts and etiquette supplies manufacturing,Noble metal acquisition,Rare and rare earth metals smelting,Refined petroleum products manufacturing
CaSO4,1,1,17,5,0,3,4,1,0,2,2,3,0,1,0,0,0,0,9,0,0,0,1,0,0
CaCO3,1,1,15,5,0,1,6,1,0,2,1,3,0,0,0,2,0,0,3,0,0,0,1,0,0
SiO2,0,0,3,1,0,2,8,0,2,0,0,0,1,2,0,3,0,0,14,0,0,1,1,1,3
Fe(OH)3,1,1,16,5,0,0,4,1,0,2,1,2,0,1,1,0,0,1,4,0,0,0,0,0,0
Al(OH)3,1,1,8,5,0,0,2,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0
C,1,0,1,0,0,0,5,0,3,0,0,0,0,3,1,0,0,2,2,1,0,0,0,0,4
Cr(OH)3,0,2,9,5,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZnO,0,0,1,0,0,1,3,0,2,0,0,0,1,2,0,0,0,0,11,0,0,0,0,0,0
Al2O3,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,4
Fe2O3,0,0,3,0,0,1,5,0,0,0,0,0,1,1,0,0,1,0,4,0,0,1,1,0,1
PbO,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,8,0,0,1,0,0,0
CuS,0,1,2,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,0
PbSO4,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0
ZnS,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0
Zn(OH)2,0,0,4,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
