seed,model,accuracy,balanced_accuracy,f1_macro,auc_macro,best_params
0,LogisticRegression,0.42424242424242425,0.5246753246753246,0.3832264957264957,,"{'C': 0.6949312575533734, 'penalty': 'l2'}"
0,AnnoyKNN,0.3939393939393939,0.20562770562770563,0.1692307692307692,,"{'n_neighbors': 16, 'n_trees': 27, 'metric': 'cosine', 'search_k': 388}"
0,BernoulliNB,0.45454545454545453,0.5701298701298702,0.4665598290598291,,{'alpha': 0.00127855247423475}
0,MLP,0.48484848484848486,0.3142857142857143,0.25158371040723987,,"{'hidden_layer_sizes': 16, 'activation': 'tanh', 'learning_rate_init': 0.09048435734528026, 'batch_size': 32, 'alpha': 0.004394780755094114}"
0,RandomForest,0.2727272727272727,0.4480519480519481,0.23316683316683318,,"{'n_estimators': 223, 'max_depth': 15, 'min_samples_split': 19, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'entropy', 'class_weight': 'balanced'}"
0,XGBoost,0.2727272727272727,0.1316017316017316,0.09680319680319681,,"{'n_estimators': 249, 'max_depth': 20, 'learning_rate': 0.014652913837051794, 'subsample': 0.9756502419166024, 'colsample_bytree': 0.775150946743045, 'gamma': 3.5308858883533, 'reg_alpha': 0.00554300954920729, 'reg_lambda': 0.003817192683633453, 'min_child_weight': 2}"
1,LogisticRegression,0.5757575757575758,0.39431818181818185,0.37371212121212116,,"{'C': 48.29527030453889, 'penalty': 'l2'}"
1,AnnoyKNN,0.48484848484848486,0.20454545454545453,0.1718095238095238,,"{'n_neighbors': 36, 'n_trees': 39, 'metric': 'cosine', 'search_k': 11}"
1,BernoulliNB,0.45454545454545453,0.2636363636363636,0.20637958532695375,,{'alpha': 0.00012123495968183191}
1,MLP,0.6363636363636364,0.3477272727272728,0.27,,"{'hidden_layer_sizes': 256, 'activation': 'relu', 'learning_rate_init': 0.032346588128538606, 'batch_size': 256, 'alpha': 0.00019297663972686925}"
1,RandomForest,0.42424242424242425,0.3261363636363636,0.2245614035087719,,"{'n_estimators': 157, 'max_depth': 16, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,XGBoost,0.3939393939393939,0.1875,0.12016129032258065,,"{'n_estimators': 150, 'max_depth': 17, 'learning_rate': 0.009509861917154857, 'subsample': 0.9367130641753492, 'colsample_bytree': 0.9819194927155618, 'gamma': 2.2726711207977517, 'reg_alpha': 0.0005940676083136111, 'reg_lambda': 0.018084161218283462, 'min_child_weight': 5}"
2,LogisticRegression,0.42424242424242425,0.4172077922077922,0.3479853479853479,,"{'C': 0.0698465706028433, 'penalty': 'l2'}"
2,AnnoyKNN,0.3333333333333333,0.16720779220779222,0.12014260249554369,,"{'n_neighbors': 27, 'n_trees': 43, 'metric': 'cosine', 'search_k': 4}"
2,BernoulliNB,0.5454545454545454,0.4318181818181818,0.3964285714285714,,{'alpha': 0.0007518992014124242}
2,MLP,0.45454545454545453,0.19155844155844157,0.1471861471861472,,"{'hidden_layer_sizes': 64, 'activation': 'relu', 'learning_rate_init': 0.029146979148325928, 'batch_size': 256, 'alpha': 0.0002662679067162825}"
2,RandomForest,0.45454545454545453,0.38474025974025977,0.33076923076923076,,"{'n_estimators': 116, 'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'criterion': 'entropy', 'class_weight': 'balanced_subsample'}"
2,XGBoost,0.24242424242424243,0.09090909090909091,0.03547671840354767,,"{'n_estimators': 102, 'max_depth': 16, 'learning_rate': 0.0011698534848028632, 'subsample': 0.9426870891571757, 'colsample_bytree': 0.7259469285802469, 'gamma': 1.0790275823528084, 'reg_alpha': 0.6326339014467434, 'reg_lambda': 3.3403236525672537, 'min_child_weight': 7}"
3,LogisticRegression,0.2972972972972973,0.42746913580246915,0.21375152625152624,,"{'C': 0.0019776945880624268, 'penalty': 'l2'}"
3,AnnoyKNN,0.24324324324324326,0.21604938271604937,0.13429752066115705,,"{'n_neighbors': 3, 'n_trees': 21, 'metric': 'euclidean', 'search_k': 122}"
3,BernoulliNB,0.43243243243243246,0.4074074074074074,0.25457875457875456,,{'alpha': 0.041019131387782515}
3,MLP,0.5675675675675675,0.28086419753086417,0.23274410774410775,,"{'hidden_layer_sizes': 128, 'activation': 'relu', 'learning_rate_init': 0.0043216961904164065, 'batch_size': 32, 'alpha': 0.00032512482640973067}"
3,RandomForest,0.35135135135135137,0.412037037037037,0.23974358974358975,,"{'n_estimators': 88, 'max_depth': 38, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'gini', 'class_weight': 'balanced_subsample'}"
3,XGBoost,0.40540540540540543,0.2962962962962963,0.1872359963269054,,"{'n_estimators': 90, 'max_depth': 22, 'learning_rate': 0.4065663824284802, 'subsample': 0.8156351390749635, 'colsample_bytree': 0.7564451778125733, 'gamma': 0.4072321355729408, 'reg_alpha': 0.02630139242813876, 'reg_lambda': 0.00033037045150026607, 'min_child_weight': 2}"
4,LogisticRegression,0.34210526315789475,0.44000000000000006,0.2855119825708061,,"{'C': 0.04260669962251899, 'penalty': 'l2'}"
4,AnnoyKNN,0.39473684210526316,0.2066666666666667,0.18904761904761905,,"{'n_neighbors': 29, 'n_trees': 15, 'metric': 'cosine', 'search_k': 266}"
4,BernoulliNB,0.47368421052631576,0.52,0.39901034637876737,,{'alpha': 0.0010701951601130753}
4,MLP,0.5,0.5433333333333332,0.41327773533655887,,"{'hidden_layer_sizes': 256, 'activation': 'relu', 'learning_rate_init': 0.03345604407290232, 'batch_size': 32, 'alpha': 0.00017069457391963338}"
4,RandomForest,0.3157894736842105,0.3,0.17948717948717946,,"{'n_estimators': 152, 'max_depth': 41, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'criterion': 'entropy', 'class_weight': 'balanced_subsample'}"
