Fingerprint_index,Feature,Chi2,p-value,Cramers_V,p-adj,significant
0,CaSO4,57.7677633,0.000131056,0.461266907,0.000904283,TRUE
1,CaCO3,55.42026862,0.000274689,0.444869647,0.001822457,TRUE
2,SiO2,45.18233822,0.005542585,0.364841581,0.02549589,TRUE
3,Fe(OH)3,53.96346429,0.000431051,0.434382726,0.002726664,TRUE
4,Al(OH)3,57.90200926,0.000125562,0.462187031,0.000884062,TRUE
5,C,67.7928117,4.70E-06,0.525565766,4.38E-05,TRUE
6,Cr(OH)3,67.09684783,5.96E-06,0.521358191,5.42E-05,TRUE
7,ZnO,38.30895963,0.032227438,0.299341345,0.117036485,FALSE
8,Al2O3,56.61801259,0.000188699,0.45331001,0.001276496,TRUE
9,Fe2O3,35.93728759,0.055661018,0.273119126,0.192030512,FALSE
10,PbO,44.20163194,0.00722849,0.356233251,0.032387391,TRUE
11,CuS,36.04052217,0.054392552,0.274312716,0.189549804,FALSE
12,PbSO4,35.81220443,0.057232344,0.271665897,0.193579988,FALSE
13,ZnS,34.05204932,0.083748281,0.250323173,0.280516087,FALSE
14,Zn(OH)2,30.86094287,0.157832786,0.206067964,0.44633042,FALSE
15,NaCl,69.03608108,3.06E-06,0.532999515,2.93E-05,TRUE
16,PbS,33.73378378,0.089512731,0.246266667,0.296941271,FALSE
17,HgS,62.72100737,2.61E-05,0.494083051,0.000214346,TRUE
18,As2O3,41.36134228,0.01519857,0.330037713,0.066559865,FALSE
19,Cu(OH)2,62.73990604,2.60E-05,0.494204085,0.000214346,TRUE
20,Ni,14.21395973,0.941669358,0,0.999999997,FALSE
21,Pb,35.8470302,0.056791031,0.272071286,0.193579988,FALSE
22,NiO,45.20428889,0.005509461,0.365031935,0.02549589,TRUE
23,Fe3O4,47.26422222,0.00310974,0.382474036,0.014696719,TRUE
24,FeS,36.57131623,0.048260762,0.280369501,0.171649101,FALSE
25,Ni(OH)2,30.99052152,0.154056168,0.208048448,0.439251057,FALSE
26,CaF2,38.87339404,0.02815624,0.305250313,0.10333939,FALSE
27,CuO,15.99213576,0.88835965,0,0.999999997,FALSE
28,Na2SO4,37.82227444,0.036153061,0.294151035,0.129925065,FALSE
29,ZnSO4,25.94210526,0.35610912,0.106446583,0.967383043,FALSE
30,Cu,11.0918938,0.988341311,0,0.999999997,FALSE
31,ZnFe2O4,44.95037594,0.005904246,0.362823931,0.02680217,TRUE
32,Ag,36.4362547,0.049760609,0.27884082,0.175177653,FALSE
33,HgO,16.43796992,0.871622954,0,0.999999997,FALSE
34,Fe,7.092236842,0.999675614,0,0.999999997,FALSE
35,Pt,29.70415883,0.194751214,0.187462781,0.546253404,FALSE
36,V2O5,18.2199953,0.79220786,0,0.999999997,FALSE
37,As2S3,25.66429739,0.370415473,0.097839291,0.983426766,FALSE
38,CdS,12.85856209,0.968394655,0,0.999999997,FALSE
39,SnO2,11.84879085,0.981558305,0,0.999999997,FALSE
40,Zn,12.85856209,0.968394655,0,0.999999997,FALSE
41,TiO2,11.38980392,0.985949822,0,0.999999997,FALSE
42,S,32.8686039,0.106876406,0.234885568,0.351165334,FALSE
43,PbCO3,53.9361039,0.000434686,0.434183347,0.002726664,TRUE
44,Cr2O3,25.42657792,0.382885353,0.089821562,0.999999997,FALSE
45,Mg(OH)2,7.478162338,0.999485038,0,0.999999997,FALSE
46,Cd(OH)2,10.48780519,0.992222136,0,0.999999997,FALSE
47,Ag2S,13.66161039,0.953927569,0,0.999999997,FALSE
48,Mn(OH)2,25.70018182,0.368551135,0.098993195,0.983426766,FALSE
49,KCl,41.35032468,0.015241244,0.32993205,0.066559865,FALSE
50,CdO,17.82038961,0.811633349,0,0.999999997,FALSE
51,PbO2,73.08837662,7.38E-07,0.556540161,7.95E-06,TRUE
52,MgO,40.80311688,0.017504587,0.324640845,0.07548853,FALSE
53,CaO,40.52951299,0.018748167,0.321962636,0.078879483,FALSE
54,Cu2S,32.04779221,0.125811922,0.223553151,0.401899196,FALSE
55,FeAsO4,32.25520161,0.120789326,0.226470266,0.389460912,FALSE
56,Pb(OH)2,32.25520161,0.120789326,0.226470266,0.389460912,FALSE
57,Ca2SiO4,47.47816935,0.002927359,0.384240209,0.014026931,TRUE
58,NiS,39.32300806,0.025251342,0.30987663,0.101424578,FALSE
59,PbCl2,70.65241935,1.74E-06,0.542511643,1.77E-05,TRUE
