Phase,Dim_1,Dim_2,Cluster,Veterinary drug manufacturing,Wood processing,Metal surface treatment and heat treatment processing,"Coatings, printing ink, paint and similar products manufacture","Explosives, fire and fireworks product manufacturing",Environmental governance industry,Basic chemical raw materials manufacturing,Fur tanning and products processing,Ferroalloy smelting,Electronic components and electronic special materials,Glass manufacturing,Battery manufacturing,Steelmaking,Unspecified,Gas drilling,Commonly used non-ferrous metal acquisition,Noble metal smelting,Synthetic materials manufacturing,Commonly used non-ferrous metal smelting,Lighting appliance manufacturing,Universal instruments manufacturing,Arts and crafts and etiquette supplies manufacturing,Noble metal acquisition,Rare and rare earth metals smelting,Refined petroleum products manufacturing
CaSO4,-21.703707,22.255114,0,1,1,17,5,0,3,4,1,0,2,2,3,0,1,0,0,0,0,9,0,0,0,1,0,0
CaCO3,-24.454597,18.781483,0,1,1,15,5,0,1,6,1,0,2,1,3,0,0,0,2,0,0,3,0,0,0,1,0,0
SiO2,1.9967232,27.289095,0,0,0,3,1,0,2,8,0,2,0,0,0,1,2,0,3,0,0,14,0,0,1,1,1,3
Fe(OH)3,-25.04736,21.51405,0,1,1,16,5,0,0,4,1,0,2,1,2,0,1,1,0,0,1,4,0,0,0,0,0,0
Al(OH)3,-27.803722,17.79087,0,1,1,8,5,0,0,2,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0
C,-9.342946,-13.813304,3,1,0,1,0,0,0,5,0,3,0,0,0,0,3,1,0,0,2,2,1,0,0,0,0,4
Cr(OH)3,-25.736704,17.076561,0,0,2,9,5,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZnO,2.1082668,41.746258,1,0,0,1,0,0,1,3,0,2,0,0,0,1,2,0,0,0,0,11,0,0,0,0,0,0
Al2O3,-16.799282,-21.622574,3,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,4
Fe2O3,-0.036023382,18.208359,0,0,0,3,0,0,1,5,0,0,0,0,0,1,1,0,0,1,0,4,0,0,1,1,0,1
PbO,3.195463,49.926003,1,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,8,0,0,1,0,0,0
CuS,-2.728465,28.323587,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,0
PbSO4,3.8519616,55.24647,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0
ZnS,-1.8362199,46.7021,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0
Zn(OH)2,-29.030548,15.010923,0,0,0,4,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
NaCl,29.631123,38.648262,2,0,0,1,0,0,4,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PbS,-0.07788099,39.685642,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0
HgS,-1.6135881,49.668137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,3,1,1,0,0,0,0
As2O3,2.2088327,58.321144,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0
Cu(OH)2,-17.902128,25.27165,0,0,2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ni,-20.394888,-20.429913,4,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Pb,1.2623233,48.407825,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0
NiO,-6.671472,-18.109493,3,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3
Fe3O4,-5.3260727,58.3849,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,1,0
FeS,0.41128466,16.21513,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0
Ni(OH)2,-32.58415,20.07509,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
CaF2,-21.26156,17.138937,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CuO,3.621406,29.98118,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
Na2SO4,-29.359592,-32.804752,4,1,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZnSO4,5.637546,62.206543,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Cu,5.4643607,13.760088,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
ZnFe2O4,-6.9887605,64.29765,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
Ag,-17.434322,-17.207214,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
HgO,-8.632921,-6.238019,3,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0
Fe,0.43922982,11.3597355,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
Pt,-11.24044,-16.055943,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
V2O5,-27.426863,-37.925457,4,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
As2S3,-0.024082035,30.717983,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
CdS,-8.722544,37.70064,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
SnO2,-4.682269,44.816246,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
Zn,-7.4873304,36.714012,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
TiO2,-31.504503,-40.07643,4,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,-1.0571032,25.22985,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
PbCO3,-4.2571855,61.36965,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cr2O3,-22.667898,14.018242,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg(OH)2,-19.920835,6.325941,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd(OH)2,-29.530336,20.018885,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Ag2S,-6.5153856,41.637478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Mn(OH)2,-25.396189,2.3338017,3,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KCl,24.183874,46.054016,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CdO,6.698664,57.434498,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
PbO2,27.242817,42.901306,2,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MgO,-30.449982,-44.09893,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CaO,-7.8420534,-9.454463,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Cu2S,-1.8222913,58.048733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0
FeAsO4,-4.2202168,16.193573,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pb(OH)2,-26.207777,8.731986,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca2SiO4,-19.306122,17.410452,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NiS,-2.656508,-21.5817,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PbCl2,29.925024,45.51907,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZnCl2,34.726257,38.662025,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd,11.577526,50.26699,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Na2CrO4,-31.337387,-46.97807,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,6.5452104,19.522978,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bi2O3,2.215012,35.298523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MoS2,8.456209,-30.91319,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
CaMg(CO3)2,-15.786475,39.938023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
Sb2O3,-2.5873134,64.83316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
WO3,7.283865,-31.841661,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Pd,-13.0115795,-17.614857,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MoO3,-9.205005,-21.76813,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
