feature,count
CaSO4,50
SiO2,42
CaCO3,42
Fe(OH)3,40
Al(OH)3,24
C,23
Cr(OH)3,21
ZnO,21
Al2O3,20
Fe2O3,19
PbO,15
PbSO4,14
CuS,14
ZnS,12
Zn(OH)2,11
NaCl,11
PbS,11
HgS,11
Pb,10
Ni,10
Cu(OH)2,10
As2O3,10
NiO,9
Fe3O4,9
Ni(OH)2,8
CaF2,8
CuO,8
FeS,8
Pt,7
HgO,7
Fe,7
V2O5,7
ZnSO4,7
ZnFe2O4,7
Ag,7
Cu,7
Na2SO4,7
As2S3,6
CdS,6
SnO2,6
TiO2,6
Zn,6
PbCO3,5
KCl,5
Cu2S,5
MgO,5
CaO,5
Mn(OH)2,5
CdO,5
PbO2,5
Cr2O3,5
Cd(OH)2,5
Ag2S,5
Mg(OH)2,5
S,5
Sb,4
Na2CrO4,4
Cd,4
FeAsO4,4
zeolite,4
MoO3,4
Pd,4
WO3,4
Sb2O3,4
CaMg(CO3)2,4
MoS2,4
Bi2O3,4
PbCl2,4
NiS,4
Ca2SiO4,4
ZnCl2,4
Pb(OH)2,4
Sb2S3,3
Au,3
BaSO4,3
Cu2Sb,3
Cu5As2,3
Zn2SiO4,3
PbFe6(SO4)4(OH)12,3
FeS2,3
Re,3
CeO2,3
WS2,3
Na3AsO4,3
MnS,3
FeCr2O4,3
CaHPO4,3
MgCO3,3
Ca(OH)2,3
Ca3(AsO4)2,3
Ca(AsO2)2,3
CdCl2,2
CdSO4,2
NiSO4,2
CuSO4,2
Ca2(PO4)3,2
Au(OH)3,2
Co(OH)2,2
Sn(OH)2,2
AgCl,2
CaHPO4·2H2O,2
NiFe2O4,2
Ca3(PO4)2,2
BaCl2,2
BaCO3,2
Ce0.67Tb0.33MgAl11O19,2
(Y0.95Eu0.05)2O3,2
HgSe,2
NaOH,2
Bi,2
NaSbO3,2
MnO2,2
Fe(OH)2,2
CaAl2Si2O8,2
FeCr,2
CaCrO4,2
CaP4O11,2
CuCl,2
AsCl3,2
Ca2Al2SiO7,2
CuCl2,2
Ba0.9Eu0.1Mg2Al16O27,2
MgCl2,2
Ag2SO4,2
KAl2(AlSi3O10)(OH)2,2
KFe3(SO4)2(OH)6,2
FeOOH,2
Co,2
Ag2O,2
Cu3As,2
Ag3Sb,2
Na2SnO3,2
Na3SbO4,2
Pb3O4,2
Sn,2
Na2WO4,2
Cs,2
Al,2
Ru,2
PtO2,1
RhO2,1
Zr,1
Ti,1
Al2SiO5,1
Ba,1
V2O4,1
KAlSi2O6,1
KFe(SO4)2,1
SiC,1
Rh,1
Al1.83O4.85Si1.08,1
Hf,1
ZrO2,1
PtO,1
Ca4Al6Si6O24(SO4),1
CaHAsO4·H2O,1
Ca3(AsO4)2·4H2O,1
Ca5(AsO4)3OH,1
Ca4(AsO4)2(OH)2·4H2O,1
Ca5H2(AsO4)4,1
FeAsO4·2H2O,1
CuCrO4,1
CrAsO4,1
NaCN,1
MoO2,1
Sn(OH)Cl,1
α-(SnO2·H2O)5,1
Ca(OH)2·2Zn(OH)2·2H2O,1
C12H10Cu4O14·5H2O,1
2CaSO3·H2O,1
CaSO3·H2O,1
NiCO3,1
NiHPO3,1
P,1
MgHPO4·3H2O,1
Ca5(PO4)3OH,1
