Scenario,Metric,Train_Mean,Val_Mean,Test_Mean,Train_Std,Val_Std,Test_Std,|Train_Mean-Val_Mean|,|Train_Mean-Test_Mean|,|Val_Mean-Test_Mean|,Diff_Mean
S1,AUC,0.9962,0.9872,0.9861,7.5620E-04,2.7590E-03,3.0770E-03,8.9960E-03,0.01008,1.0800E-03,6.7170E-03
S1,BA,0.8749,0.8239,0.7796,0.01494,9.8290E-03,0.02015,0.05104,0.09536,0.04432,0.06358
S1,F1-Macro,0.7256,0.7210,0.6870,0.01447,7.9730E-03,0.01364,4.5480E-03,0.03856,0.03401,0.02571
S2,AUC,0.9955,0.9937,0.9924,7.9560E-04,0.002681,1.7840E-03,1.8480E-03,3.0720E-03,1.2240E-03,2.0480E-03
S2,BA,0.9369,0.9349,0.9019,8.6330E-03,0.01095,0.01582,2.0360E-03,0.03501,0.03298,0.02334
S2,F1-Macro,0.7575,0.8306,0.7354,0.02800,0.03668,0.02588,0.07310,0.02214,0.09524,0.06350
S3,AUC,0.9941,0.9880,0.9864,6.2040E-04,1.7320E-03,2.4620E-03,6.0710E-03,7.6980E-03,1.6280E-03,5.1320E-03
S3,BA,0.9071,0.8742,0.8233,0.01389,0.02256,0.03210,0.03288,0.08377,0.05090,0.05585
S3,F1-Macro,0.7499,0.7600,0.7077,0.02019,0.02446,0.01791,0.01017,0.04221,0.05237,0.03492
S4,AUC,0.9969,0.9935,0.9927,5.2000E-04,2.0880E-03,2.1960E-03,3.3910E-03,4.1590E-03,7.6750E-04,2.7720E-03
S4,BA,0.9193,0.8962,0.8672,0.01038,0.02327,0.03951,0.02315,0.05214,0.02898,0.03476
S4,F1-Macro,0.7909,0.7860,0.7685,0.02355,0.02072,0.01361,4.8860E-03,0.02233,0.01744,0.01489
S5,AUC,0.9992,0.9682,0.9660,2.6680E-04,0.02169,0.01719,0.03096,0.03320,2.2400E-03,0.02213
S5,BA,0.9694,0.8698,0.8303,0.01812,0.05316,0.05837,0.09960,0.1390,0.03943,0.09269
S5,F1-Macro,0.7969,0.7599,0.6885,0.03839,0.04660,0.05532,0.03701,0.1085,0.07148,0.07233
S6,AUC,0.9999,0.9989,0.9994,2.5830E-05,9.7350E-04,5.1760E-04,1.0080E-03,5.6360E-04,4.4450E-04,6.7210E-04
S6,BA,0.9898,0.9736,0.9430,0.007211,0.01326,0.02881,0.01619,0.04675,0.03057,0.03117
S6,F1-Macro,0.8515,0.8583,0.8376,0.02326,0.02134,0.02489,6.8120E-03,0.01393,0.02074,0.01383
S7,AUC,0.9999,0.9996,0.9997,2.4060E-05,2.5480E-04,1.4980E-04,2.6910E-04,1.7940E-04,8.9740E-05,1.7940E-04
S7,BA,0.9826,0.9700,0.9593,5.5050E-03,0.01256,0.02023,0.01262,0.02331,0.01068,0.01554
S7,F1-Macro,0.7898,0.7877,0.7902,0.01831,0.01602,0.01602,2.0680E-03,4.6150E-04,2.5300E-03,1.6860E-03
