split_file,scenario,type,class,train_ratio,val_ratio,test_ratio
S1_seed_0.pkl,original,Source,Universal instruments manufacturing,0.041666666666666664,0.0,0.0
S1_seed_0.pkl,original,Source,Veterinary drug manufacturing,0.041666666666666664,0.018518518518518517,0.012195121951219513
S1_seed_0.pkl,original,Source,Wood processing,0.041666666666666664,0.018518518518518517,0.0
S1_seed_0.pkl,original,Source,Metal surface treatment and heat treatment processing,0.16666666666666666,0.1111111111111111,0.18292682926829268
S1_seed_0.pkl,original,Source,Fur tanning and products processing,0.041666666666666664,0.018518518518518517,0.0
S1_seed_0.pkl,original,Source,Basic chemical raw materials manufacturing,0.125,0.3148148148148148,0.24390243902439024
S1_seed_0.pkl,original,Source,Synthetic materials manufacturing,0.08333333333333333,0.0,0.012195121951219513
S1_seed_0.pkl,original,Source,Commonly used non-ferrous metal smelting,0.25,0.12962962962962962,0.2073170731707317
S1_seed_0.pkl,original,Source,Arts and crafts and etiquette supplies manufacturing,0.041666666666666664,0.0,0.0
S1_seed_0.pkl,original,Source,Commonly used non-ferrous metal acquisition,0.041666666666666664,0.037037037037037035,0.0
S1_seed_0.pkl,original,Source,Rare and rare earth metals smelting,0.041666666666666664,0.0,0.012195121951219513
S1_seed_0.pkl,original,Source,Refined petroleum products manufacturing,0.041666666666666664,0.0,0.036585365853658534
S1_seed_0.pkl,original,Source,Unspecified,0.041666666666666664,0.09259259259259259,0.07317073170731707
S1_seed_0.pkl,original,Source,"Explosives, fire and fireworks product manufacturing",0.0,0.018518518518518517,0.012195121951219513
S1_seed_0.pkl,original,Source,"Coatings, printing ink, paint and similar products manufacture",0.0,0.018518518518518517,0.06097560975609756
S1_seed_0.pkl,original,Source,Environmental governance industry,0.0,0.037037037037037035,0.036585365853658534
S1_seed_0.pkl,original,Source,Electronic components and electronic special materials,0.0,0.018518518518518517,0.024390243902439025
S1_seed_0.pkl,original,Source,Glass manufacturing,0.0,0.037037037037037035,0.0
S1_seed_0.pkl,original,Source,Battery manufacturing,0.0,0.05555555555555555,0.024390243902439025
S1_seed_0.pkl,original,Source,Steelmaking,0.0,0.018518518518518517,0.0
S1_seed_0.pkl,original,Source,Gas drilling,0.0,0.018518518518518517,0.012195121951219513
S1_seed_0.pkl,original,Source,Noble metal smelting,0.0,0.018518518518518517,0.0
S1_seed_0.pkl,original,Source,Lighting appliance manufacturing,0.0,0.018518518518518517,0.0
S1_seed_0.pkl,original,Source,Ferroalloy smelting,0.0,0.0,0.036585365853658534
S1_seed_0.pkl,original,Source,Noble metal acquisition,0.0,0.0,0.012195121951219513
S1_seed_0.pkl,S1,Source,Veterinary drug manufacturing,0.012062033314187249,0.013490725126475547,0.011801730920535013
S1_seed_0.pkl,S1,Source,Wood processing,0.01723147616312464,0.01770657672849916,0.01730920535011802
S1_seed_0.pkl,S1,Source,Metal surface treatment and heat treatment processing,0.12837449741527857,0.12563237774030353,0.12903225806451613
S1_seed_0.pkl,S1,Source,"Coatings, printing ink, paint and similar products manufacture",0.02125215393452039,0.02023608768971332,0.022816679779701022
S1_seed_0.pkl,S1,Source,"Explosives, fire and fireworks product manufacturing",0.0002871912693854107,0.0008431703204047217,0.0007867820613690008
S1_seed_0.pkl,S1,Source,Environmental governance industry,0.0993681792073521,0.09780775716694773,0.09284028324154209
S1_seed_0.pkl,S1,Source,Basic chemical raw materials manufacturing,0.15422171165996554,0.15345699831365936,0.16129032258064516
S1_seed_0.pkl,S1,Source,Fur tanning and products processing,0.002584721424468696,0.0042158516020236085,0.003147128245476003
S1_seed_0.pkl,S1,Source,Ferroalloy smelting,0.010626076967260195,0.010961214165261383,0.011801730920535013
S1_seed_0.pkl,S1,Source,Electronic components and electronic special materials,0.004595060310166571,0.00505902192242833,0.0055074744295830055
S1_seed_0.pkl,S1,Source,Glass manufacturing,0.01694428489373923,0.016863406408094434,0.01730920535011802
S1_seed_0.pkl,S1,Source,Battery manufacturing,0.018954623779437105,0.0193929173693086,0.020456333595594022
S1_seed_0.pkl,S1,Source,Steelmaking,0.0060310166570936245,0.006745362563237774,0.006294256490952006
S1_seed_0.pkl,S1,Source,Unspecified,0.0537047673750718,0.05311973018549747,0.05586152635719906
S1_seed_0.pkl,S1,Source,Gas drilling,0.005169442848937392,0.005902192242833052,0.006294256490952006
S1_seed_0.pkl,S1,Source,Commonly used non-ferrous metal acquisition,0.02527283170591614,0.025295109612141653,0.024390243902439025
S1_seed_0.pkl,S1,Source,Noble metal smelting,0.0022975301550832855,0.003372681281618887,0.003147128245476003
S1_seed_0.pkl,S1,Source,Synthetic materials manufacturing,0.0017231476163124641,0.002529510961214165,0.003147128245476003
S1_seed_0.pkl,S1,Source,Commonly used non-ferrous metal smelting,0.32337736932797245,0.3178752107925801,0.31235247836349334
S1_seed_0.pkl,S1,Source,Lighting appliance manufacturing,0.0008615738081562321,0.0016863406408094434,0.0015735641227380016
S1_seed_0.pkl,S1,Source,Universal instruments manufacturing,0.0002871912693854107,0.0008431703204047217,0.0007867820613690008
S1_seed_0.pkl,S1,Source,Arts and crafts and etiquette supplies manufacturing,0.015508328546812177,0.016020236087689713,0.014948859166011016
S1_seed_0.pkl,S1,Source,Noble metal acquisition,0.013210798391728892,0.013490725126475547,0.013375295043273014
S1_seed_0.pkl,S1,Source,Rare and rare earth metals smelting,0.020390580126364157,0.021079258010118045,0.01966955153422502
S1_seed_0.pkl,S1,Source,Refined petroleum products manufacturing,0.0456634118322803,0.046374367622259695,0.044059795436664044
S1_seed_1.pkl,original,Source,Electronic components and electronic special materials,0.08333333333333333,0.0,0.0
S1_seed_1.pkl,original,Source,Synthetic materials manufacturing,0.027777777777777776,0.02531645569620253,0.0
S1_seed_1.pkl,original,Source,Veterinary drug manufacturing,0.027777777777777776,0.012658227848101266,0.021739130434782608
