feature,weighted_stability_score
CaSO4,1.0
CaCO3,1.0
SiO2,1.0
Fe(OH)3,1.0
Al(OH)3,1.0
C,1.0
Cr(OH)3,1.0
ZnO,1.0
Al2O3,1.0
Fe2O3,1.0
PbO,1.0
CuS,1.0
PbSO4,1.0
ZnS,1.0
Zn(OH)2,1.0
NaCl,1.0
PbS,1.0
HgS,1.0
As2O3,1.0
Cu(OH)2,1.0
Ni,1.0
Pb,1.0
NiO,1.0
Fe3O4,1.0
FeS,1.0
Ni(OH)2,1.0
CaF2,1.0
CuO,1.0
Na2SO4,1.0
ZnSO4,1.0
Cu,1.0
ZnFe2O4,1.0
Ag,1.0
HgO,1.0
Fe,1.0
Pt,1.0
V2O5,1.0
As2S3,1.0
CdS,0.9989598193619093
SnO2,1.0
Zn,0.9935009967216832
TiO2,0.990696476990373
S,1.0
PbCO3,1.0
Cr2O3,1.0
Mg(OH)2,0.9968794580857275
Cd(OH)2,0.9989598193619093
Ag2S,0.9968794580857275
Mn(OH)2,1.0
KCl,1.0
CdO,0.9979196387238184
PbO2,1.0
MgO,1.0
CaO,1.0
Cu2S,1.0
FeAsO4,1.0
Pb(OH)2,1.0
Ca2SiO4,1.0
NiS,1.0
PbCl2,1.0
ZnCl2,1.0
Cd,0.9979196387238184
Na2CrO4,0.9984397290428638
Sb,0.9925897758084783
Bi2O3,0.9963593677666822
MoS2,0.9919364743450453
CaMg(CO3)2,0.9927428269105407
Sb2O3,0.9958392774476368
WO3,0.9919364743450453
Pd,0.997399548404773
MoO3,1.0
zeolite,1.0
Ca(AsO2)2,0.9984397290428638
Ca3(AsO4)2,0.9968794580857275
Ca(OH)2,0.9947990968095459
MgCO3,0.990743242604892
CaHPO4,0.9968794580857275
FeCr2O4,1.0
MnS,0.9935491794760363
Au,1.0
Sb2S3,0.9953191871285914
FeS2,1.0
PbFe6(SO4)4(OH)12,0.9963593677666822
Zn2SiO4,0.9958392774476368
Cu5As2,0.9979196387238184
Cu2Sb,0.9979196387238184
WS2,0.9989598193619093
CeO2,0.9968794580857275
Ca3(PO4)2,0.9953191871285914
Co(OH)2,0.9958392774476368
CuSO4,0.9947990968095459
Au(OH)3,0.9953191871285914
CaP4O11,0.9909487278808091
CaCrO4,0.9937064819976004
FeCr,0.9925089988379454
CaAl2Si2O8,0.9935491794760363
Fe(OH)2,0.9986735571154592
(Y0.95Eu0.05)2O3,0.9963593677666822
Ce0.67Tb0.33MgAl11O19,0.9955530152011867
Ba0.9Eu0.1Mg2Al16O27,0.9931098661275237
MgCl2,0.997399548404773
Ag2SO4,0.9963593677666822
KAl2(AlSi3O10)(OH)2,0.9935491794760363
FeOOH,0.9963593677666822
Ag3Sb,0.9955530152011867
Pb3O4,0.9923276049392047
Na2WO4,0.9935491794760363
Ca5H2(AsO4)4,0.9907148998082138
Ca5(PO4)3OH,0.9906908084310373
Ca8H2(PO4)6·2H2O,0.9915212523737092
Ca(H2PO2)2,0.9923276049392047
(NH4)2BeF4,0.9931339575047002
Be(OH)2,0.9947466626356912
Be2(OH)2SO4,0.9931339575047002
PbSiO3,0.9944604003892411
CaCl2,0.9952667529547365
K2SO4,0.9952667529547365
MgSO4,0.9944604003892411
Ca3SiO5,0.9952667529547365
FeCuS2,0.9944604003892411
LaNi5,0.9936540478237457
CuFeS2,0.9952667529547365
Cu2O,0.9912108987500827
Cu2(OH)2CO3,0.9952667529547365
Cu(OH)2(CO3)2,0.9952667529547365
Cu5FeS4,0.9920172513155783
Cu3AsS4,0.9936540478237457
Ca(Zn(OH)3)2·2H2O,0.9903804548074108
Na2Nb2O6,0.9960731055202321
Mn(TaO3)2,0.9968794580857275
Fe(NbO3)2,0.9968794580857275
MoS3,0.995786843273782
Cu0.52Mo6S7.82,0.9965931958392775
γ-Cd(OH)2,0.995786843273782
γ-NiOOH,0.9965931958392775
KOH,0.9900941925609607
Re2O3,0.997399548404773
La2O3,0.997399548404773
NiAl2O4,0.997399548404773
Ni2V2O7,0.997399548404773
K2O,0.997399548404773
Al2O3·2SiO2·2H2O,0.9965931958392775
PtO,0.9984397290428638
PtO2,0.9984397290428638
RhO2,0.9989598193619093
Rh2O3,0.9989598193619093
PdO,0.9989598193619093
PdO2,0.9989598193619093
Zr0.86Ca0.14O1.86,0.9989598193619093
Zr0.72Y0.28O1.86,0.9989598193619093
Al0.5Si0.75O2.25,0.9957103177227509
2FeO·2Al2O3·5SiO2,0.9994799096809547
2MgO·2Al2O3·5SiO2,0.9962304080417963
