feature,weighted_stability_score
CaSO4,1.0
CaCO3,1.0
SiO2,1.0
Fe(OH)3,1.0
Al(OH)3,1.0
C,1.0
Cr(OH)3,1.0
ZnO,1.0
Al2O3,1.0
Fe2O3,1.0
PbO,1.0
CuS,1.0
PbSO4,1.0
ZnS,1.0
Zn(OH)2,1.0
NaCl,1.0
PbS,1.0
HgS,1.0
As2O3,1.0
Cu(OH)2,1.0
Ni,1.0
Pb,1.0
NiO,1.0
Fe3O4,1.0
FeS,1.0
Ni(OH)2,1.0
CaF2,1.0
CuO,1.0
Na2SO4,1.0
ZnSO4,1.0
Cu,1.0
ZnFe2O4,1.0
Ag,1.0
HgO,1.0
Fe,1.0
Pt,1.0
V2O5,1.0
As2S3,1.0
SnO2,1.0
S,1.0
PbCO3,1.0
Cr2O3,1.0
Mn(OH)2,1.0
KCl,1.0
PbO2,1.0
MgO,1.0
CaO,1.0
Cu2S,1.0
FeAsO4,1.0
Pb(OH)2,1.0
Ca2SiO4,1.0
NiS,1.0
PbCl2,1.0
ZnCl2,1.0
MoO3,1.0
zeolite,1.0
FeCr2O4,1.0
Au,1.0
FeS2,1.0
