feature,weighted_stability_score
CaSO4,1.0
CaCO3,1.0
SiO2,1.0
Fe(OH)3,1.0
Al(OH)3,1.0
C,1.0
Cr(OH)3,1.0
ZnO,1.0
Al2O3,1.0
Fe2O3,1.0
PbO,1.0
CuS,1.0
PbSO4,1.0
ZnS,1.0
Zn(OH)2,1.0
NaCl,1.0
PbS,1.0
HgS,1.0
As2O3,1.0
Cu(OH)2,1.0
Ni,1.0
Pb,1.0
NiO,1.0
Fe3O4,1.0
FeS,1.0
Ni(OH)2,1.0
CaF2,1.0
CuO,1.0
Na2SO4,1.0
ZnSO4,1.0
Cu,1.0
ZnFe2O4,1.0
Ag,1.0
HgO,1.0
Fe,1.0
Pt,1.0
V2O5,1.0
As2S3,1.0
CdS,0.9989598193619093
SnO2,1.0
Zn,0.9935009967216832
TiO2,0.990696476990373
S,1.0
PbCO3,1.0
Cr2O3,1.0
Mg(OH)2,0.9968794580857275
Cd(OH)2,0.9989598193619093
Ag2S,0.9968794580857275
Mn(OH)2,1.0
KCl,1.0
CdO,0.9979196387238184
PbO2,1.0
MgO,1.0
CaO,1.0
Cu2S,1.0
FeAsO4,1.0
Pb(OH)2,1.0
Ca2SiO4,1.0
NiS,1.0
PbCl2,1.0
ZnCl2,1.0
Cd,0.9979196387238184
Na2CrO4,0.9984397290428638
Sb,0.9925897758084783
Bi2O3,0.9963593677666822
MoS2,0.9919364743450453
CaMg(CO3)2,0.9927428269105407
Sb2O3,0.9958392774476368
WO3,0.9919364743450453
Pd,0.997399548404773
MoO3,1.0
zeolite,1.0
Ca(AsO2)2,0.9984397290428638
Ca3(AsO4)2,0.9968794580857275
Ca(OH)2,0.9947990968095459
MgCO3,0.990743242604892
CaHPO4,0.9968794580857275
FeCr2O4,1.0
MnS,0.9935491794760363
Na3AsO4,0.9893402741693199
Au,1.0
Sb2S3,0.9953191871285914
BaSO4,0.9724777272856104
FeS2,1.0
PbFe6(SO4)4(OH)12,0.9963593677666822
Zn2SiO4,0.9958392774476368
Cu5As2,0.9979196387238184
Cu2Sb,0.9979196387238184
WS2,0.9989598193619093
CeO2,0.9968794580857275
Re,0.9835271665706161
NiFe2O4,0.9834619781382562
Ca3(PO4)2,0.9953191871285914
CaHPO4·2H2O,0.989130537473901
AgCl,0.980657458406946
Co(OH)2,0.9958392774476368
Sn(OH)2,0.989130537473901
CuSO4,0.9947990968095459
NiSO4,0.9827902538569823
Au(OH)3,0.9953191871285914
Ca2(PO4)3,0.9821185295757084
CdSO4,0.9896506277929464
CdCl2,0.9885821043581774
CuCl2,0.9896222849962683
Ca2Al2SiO7,0.9885821043581774
AsCl3,0.9899085472427183
CuCl,0.9893884569236728
CaP4O11,0.9909487278808091
CaCrO4,0.9937064819976004
FeCr,0.9925089988379454
CaAl2Si2O8,0.9935491794760363
Fe(OH)2,0.9986735571154592
MnO2,0.9845616786493714
NaSbO3,0.8980141147127458
Bi,0.9846608784377451
(Y0.95Eu0.05)2O3,0.9963593677666822
Ce0.67Tb0.33MgAl11O19,0.9955530152011867
Ba0.9Eu0.1Mg2Al16O27,0.9931098661275237
MgCl2,0.997399548404773
Ag2SO4,0.9963593677666822
KAl2(AlSi3O10)(OH)2,0.9935491794760363
KFe3(SO4)2(OH)6,0.9842513250257447
FeOOH,0.9963593677666822
Co,0.9761637079936134
Ag2O,0.9886926412652225
Cu3As,0.9898603644883653
Ag3Sb,0.9955530152011867
Na2SnO3,0.9842513250257447
Na3SbO4,0.9814468052944345
Pb3O4,0.9923276049392047
Sn,0.9684195111812334
Na2WO4,0.9935491794760363
Cs,0.9794132096327719
Ru,0.9749959847704707
CaHAsO4·H2O,0.9874894895462318
Ca3(AsO4)2·4H2O,0.9891021946772228
Ca5(AsO4)3OH,0.9899085472427183
Ca4(AsO4)2(OH)2·4H2O,0.9899085472427183
Ca5H2(AsO4)4,0.9907148998082138
FeAsO4·2H2O,0.9899085472427183
MoO2,0.9874894895462318
Ca(OH)2·2Zn(OH)2·2H2O,0.9786068570672763
2CaSO3·H2O,0.9401475714947047
CaSO3·H2O,0.9481997600309882
NiCO3,0.9890781033000464
NiHPO3,0.9801180005101704
P,0.977698942813684
MgHPO4·3H2O,0.9874413067918789
Ca5(PO4)3OH,0.9906908084310373
Ca8H2(PO4)6·2H2O,0.9915212523737092
Ca(H2PO2)2,0.9923276049392047
Na3PO4·12H2O,0.9752798851171975
In(OH)3,0.9786068570672763
Cr2(SO4)3,0.9822177293640821
CuSO4·2H2O,0.9786068570672763
SnSO4,0.9778005045017809
Ca2Cr2O5,0.9778005045017809
AgS,0.9882476593573744
ZnCr2O4,0.9533279167099682
CrSO4,0.9614575755571722
CrO2Cl2,0.9549406218409592
Ca3Al2O6,0.9541342692754637
Cu3Cl3,0.9488866004704904
Na21Mg(SO4)10Cl3,0.8652030761381996
Cu3AsSe4,0.9472738953394995
CaTiO3,0.8895981936190918
Na4Al3Si3O12Cl,0.9639781949417556
(NH4)2BeF4,0.9931339575047002
Be(OH)2,0.9947466626356912
Be2(OH)2SO4,0.9931339575047002
Fe(OH)CrO4,0.9618784660878439
3CaO·Al2O3·CaCrO4,0.9630702806881631
MgFe2O4,0.9744494411745255
NaAlSiO2,0.9802195621982673
4CaO·Al2O3·Fe2O3,0.9598207790490048
3Na2O·Al2O3·6H2O,0.9671261348928171
3CaO·Al2O3·6H2O,0.9753394049902218
CaMgCO3,0.9646829858191541
ZnCl2·4Zn(OH)2·H2O,0.8988752633518192
Fe(AsO)2,0.9863486919799334
Na3SbO3,0.7764485531002296
Na3AsO3,0.7134297618260319
Na3SbS3,0.7082000434589548
Na2S,0.7183099190340775
Na2CO3,0.7715683958921841
Tl(OH)3,0.9758774457471634
PbSiO3,0.9944604003892411
CaCl2,0.9952667529547365
K2SO4,0.9952667529547365
MgSO4,0.9944604003892411
Ca3SiO5,0.9952667529547365
FeCuS2,0.9944604003892411
LaNi5,0.9936540478237457
CuFeS2,0.9952667529547365
Cu2O,0.9912108987500827
Cu2(OH)2CO3,0.9952667529547365
Cu(OH)2(CO3)2,0.9952667529547365
Cu5FeS4,0.9920172513155783
Cu3AsS4,0.9936540478237457
As4S4,0.9757758840590665
FeAsS,0.9887918410535963
Zn(H2O)(OH)(AsO3),0.33372556614736365
KAlSiO4,0.879966366547942
Fe3S4,0.6350534261717384
Fe2.95Si0.05O4,0.6009159447126513
ZnO2,0.8807727191134375
Pb5O8,0.9761967745897381
InSb,0.9604003892410744
FeZn10.98,0.9725859022929323
InAlO3(ZnO)19,0.9628435383147373
TeO2,0.7138686027945997
Bi2TeO6,0.680537473901008
SbOCl,0.7154813079255907
BiOCl,0.7171181044337581
ZnFeO2,0.9652030761381996
Na2[Sn(OH)6],0.5874550058102733
Ag-Zn,0.6131014577645092
Ca3Bi2,0.5172324203803603
CaBi,0.5846504860789631
Mg3Bi2,0.5066596124594934
PbFCl,0.8941500467656146
BiF3,0.9640112615378802
Cu9.5As4,0.9753904220242426
As,0.95993745689533
AgySb2-x(O·OH·H2O)6~7,0.9412529405651554
Ag-Sb,0.9773885891900573
Au2Te,0.9498275813202075
Al2Si2O3(OH)4,0.9640112615378802
Ag2O3,0.8580143981407127
CaSO3,0.9584022220752597
NaFe3(SO4)2(OH)6,0.94044658799966
Zn2Al2O4,0.9632823792833052
Cu-Fe-Zn,0.888541007302994
SnO,0.8625331846911108
Bi2S3,0.9822507959602067
Ca(Zn(OH)3)2·2H2O,0.9903804548074108
