model,repeat,seed,n_features,best_params,test_acc_balanced,test_f1_macro,test_f1_weighted,test_auc,test_acc_balanced_clean,test_f1_macro_clean,test_f1_weighted_clean,test_auc_clean,train_acc_balanced,train_f1_macro,train_f1_weighted,train_auc
LogisticRegression,0,0,153,"{'C': 99.33210655691992, 'penalty': 'l1', 'l1_ratio': 0.5985553692853343}",0.9473890157065133,0.8016522719722491,0.9856621256967996,0.9996829046780258,0.9526984126984126,0.9099222999223,0.9009924419015328,0.9956164077691855,0.9582228816213875,0.8033056204885188,0.9851545059475108,0.9996775649256671
LogisticRegression,1,1,153,"{'C': 34.693542295461896, 'penalty': 'l1', 'l1_ratio': 0.6599721605228083}",0.9625003886872335,0.8299922703367946,0.9878956692466536,0.9997620463210601,0.8541666666666666,0.7939393939393941,0.9171717171717173,0.9917692901234568,0.9614919722247695,0.8323507379911266,0.9881701198165093,0.9998362636626473
LogisticRegression,2,2,153,"{'C': 14.105086030983772, 'penalty': 'l1', 'l1_ratio': 0.7027282677134054}",0.9545599811172341,0.8069486595965598,0.9852750722373496,0.9997087838394911,0.9519230769230769,0.9307692307692308,0.952777777777778,0.9913461538461539,0.9564132158173122,0.8085892186266916,0.98486444039894,0.9997241795816899
LogisticRegression,3,3,153,"{'C': 35.29461452303349, 'penalty': 'l1', 'l1_ratio': 0.4852450943873754}",0.9492346418449916,0.754984888495375,0.9800234648292896,0.9996644863155666,0.8154761904761905,0.6704761904761904,0.8231660231660232,0.9873939518336069,0.9594630367474873,0.7482004550402118,0.9795517469159557,0.9996313504813829
LogisticRegression,4,4,153,"{'C': 27.70602925100961, 'penalty': 'elasticnet', 'l1_ratio': 0.32929765437365294}",0.9266941750064339,0.74308078401163,0.9819454104710781,0.9994384952704485,0.9194444444444444,0.7443097643097645,0.902020202020202,0.9969122023809524,0.951859924112426,0.7441004921855504,0.9822197754758273,0.9996991525005053
LogisticRegression,5,5,153,"{'C': 32.58180766767759, 'penalty': 'l1', 'l1_ratio': 0.8991628550527551}",0.9231006728477472,0.7936196906506315,0.985371770468078,0.9996203370376995,0.8694444444444445,0.6772727272727274,0.8663101604278074,0.9822555916305915,0.9662716482502411,0.814385036430727,0.9858224664169315,0.9996913144233756
LogisticRegression,6,6,153,"{'C': 98.53462492090843, 'penalty': 'elasticnet', 'l1_ratio': 0.8857079829094673}",0.95692855742124,0.8228560762346663,0.9866567423683088,0.9996614735245849,0.9222756410256411,0.787012987012987,0.8961038961038962,0.9929978838352317,0.953637408213202,0.8169220505298379,0.9860602188250127,0.9997151808590324
LogisticRegression,7,7,153,"{'C': 68.49097874445208, 'penalty': 'l1', 'l1_ratio': 0.2833952678119829}",0.9373649665205741,0.7804002782231954,0.9828630743062141,0.9995758719669557,0.8869047619047619,0.7702380952380952,0.9137566137566137,0.9939386692176871,0.9564366578726669,0.8011740927789373,0.9838723983195684,0.9996831191492338
LogisticRegression,8,8,153,"{'C': 97.02855996373258, 'penalty': 'l1', 'l1_ratio': 0.44571605625555594}",0.9542196268126929,0.795991805478635,0.9881734993585983,0.9996739789695396,0.9404761904761905,0.8210826210826211,0.9232668566001899,0.9933531746031746,0.9652611452908729,0.8022115635009552,0.9888544411316909,0.9998204306155553
LogisticRegression,9,9,153,"{'C': 77.14088385921293, 'penalty': 'l1', 'l1_ratio': 0.4921482455639654}",0.9496000745281512,0.7905908921209995,0.9840043950130362,0.9994537047333225,0.8595238095238095,0.7117604617604618,0.8343323343323342,0.9928571428571428,0.9640092625630501,0.7986533619768318,0.9847194613404817,0.9996462528838681
AnnoyKNN,0,0,153,"{'n_neighbors': 3, 'n_trees': 48, 'metric': 'cosine', 'search_k': 500}",0.8782601082558376,0.8970946872409549,0.9943222854822258,0.9663636964096765,0.7638095238095238,0.725982905982906,0.7907536907536908,0.8773963844797178,0.9048382903001901,0.9294907175959302,0.9952660323079234,0.9708568697630899
AnnoyKNN,1,1,153,"{'n_neighbors': 3, 'n_trees': 39, 'metric': 'manhattan', 'search_k': 472}",0.8029659606017192,0.8206467660860478,0.993573254227353,0.9434840883151542,0.6875,0.6675,0.8424242424242424,0.945261574074074,0.8848700479404549,0.9127768989151412,0.99530826147637,0.9770952771272086
AnnoyKNN,2,2,153,"{'n_neighbors': 7, 'n_trees': 22, 'metric': 'hamming', 'search_k': 161}",0.8175836343342553,0.8448804220116218,0.9943208479278115,0.970783382624103,0.8589743589743589,0.8621417797888385,0.9017429193899784,0.9615384615384616,0.8477983783182259,0.8807321388925139,0.9953439721739754,0.9803831417942438
AnnoyKNN,3,3,153,"{'n_neighbors': 3, 'n_trees': 38, 'metric': 'hamming', 'search_k': 349}",0.8515350712041624,0.8596221350668103,0.9942351242693487,0.9562468386696795,0.5634920634920635,0.5522138680033417,0.7766714082503556,0.8096557588552662,0.9061857049085722,0.9179176758696701,0.9955104137021626,0.9784817667545646
AnnoyKNN,4,4,153,"{'n_neighbors': 3, 'n_trees': 25, 'metric': 'hamming', 'search_k': 447}",0.8469672279653554,0.8758223622023342,0.9941417648696222,0.9489898313708821,0.9916666666666667,0.9916457811194652,0.9736182561667327,0.9955357142857143,0.9000367260097285,0.9250567749864548,0.995667219328072,0.9767726386667794
AnnoyKNN,5,5,153,"{'n_neighbors': 3, 'n_trees': 49, 'metric': 'cosine', 'search_k': 467}",0.8410328481036771,0.8637123796092073,0.9944817043737099,0.9614127237688771,0.9083333333333333,0.9018640350877193,0.9293730650154799,0.9509066358024691,0.9058188683380792,0.9340858210965537,0.9956204214414403,0.9720912482397828
AnnoyKNN,6,6,153,"{'n_neighbors': 3, 'n_trees': 41, 'metric': 'cosine', 'search_k': 478}",0.8301223519917823,0.8429253384740271,0.994087302913296,0.9404271493167937,0.9038461538461539,0.913367269984917,0.903783308195073,0.9529397949498102,0.9036512176909914,0.9279608302074206,0.9952803581466638,0.9726001871364732
AnnoyKNN,7,7,153,"{'n_neighbors': 3, 'n_trees': 32, 'metric': 'hamming', 'search_k': 424}",0.8221237058189703,0.8297080179103199,0.993884739590223,0.95200669440226,0.8095238095238095,0.8003663003663003,0.836894586894587,0.9161482334869432,0.9090241612301866,0.926193757916561,0.9955198587361662,0.9781782082884725
AnnoyKNN,8,8,153,"{'n_neighbors': 3, 'n_trees': 50, 'metric': 'cosine', 'search_k': 443}",0.882212943781867,0.8923499159174898,0.9943194802226751,0.9653435617307273,0.9821428571428572,0.9790209790209791,0.9632219632219632,0.9873376623376624,0.9163895236883954,0.9234892897138238,0.9952915097219076,0.9768532783453626
AnnoyKNN,9,9,153,"{'n_neighbors': 3, 'n_trees': 39, 'metric': 'cosine', 'search_k': 448}",0.8794891501289217,0.8909899992813816,0.9943055378244938,0.9650274423135066,0.9285714285714286,0.9290598290598291,0.8773833004602236,0.9644047619047619,0.9103678309321265,0.9259022771861543,0.995300450175522,0.9730931128644177
BernoulliNB,0,0,153,{'alpha': 0.00010048881275109932},0.9127933141402949,0.8741866340266526,0.9845296222188865,0.999814408217473,0.66,0.6050505050505051,0.649127640036731,0.9765461994695864,0.9170300601901802,0.8762537237172547,0.9843607392530267,0.999816479446332
BernoulliNB,1,1,153,{'alpha': 0.00010015813955858975},0.9222514480170484,0.8771825344683247,0.9842861982390553,0.9997902613210744,0.8617424242424242,0.7994047619047618,0.873015873015873,0.9847005598918477,0.913652281842788,0.8753787188523726,0.984385876544874,0.9998162219723816
BernoulliNB,2,2,153,{'alpha': 0.0001007351156320356},0.9164784447974321,0.8685746761449448,0.9848922586344838,0.9998301654130602,0.7532051282051282,0.7482905982905982,0.8061728395061727,0.9951923076923077,0.9174514995464872,0.8851805686019774,0.984356018766065,0.9998170745956001
BernoulliNB,3,3,153,{'alpha': 0.0001000521963609746},0.9120178168320052,0.8708666191067093,0.9841201221929863,0.9998237640385943,0.7876984126984128,0.7405695611577964,0.8000176647235471,0.9930873211353506,0.9155007826131623,0.8782721457444798,0.9844620061162686,0.9998096327621956
BernoulliNB,4,4,153,{'alpha': 0.00010019314996034275},0.9034224145142667,0.8675243811807576,0.9841710592244445,0.9997513686150478,0.8111111111111112,0.8289473684210527,0.8545706371191135,0.9905299272486773,0.9178025149775714,0.874680927152286,0.9845067783549118,0.9998208082480279
BernoulliNB,5,5,153,{'alpha': 0.00010031667739963529},0.9059966742361696,0.8753375491536097,0.9840897123534348,0.9998120833059947,0.8111111111111112,0.7487179487179488,0.8823529411764706,0.99237012987013,0.9160204493311156,0.8750712090653308,0.9844340033275938,0.999812237608688
BernoulliNB,6,6,153,{'alpha': 0.0001001758436362471},0.9105902658478388,0.8721100140942264,0.9842485566968895,0.9998288759415951,0.8165064102564102,0.8169453152211772,0.8342240135343585,0.9934050261351225,0.9168670495332559,0.8760969745749886,0.984348136145731,0.999813728912086
BernoulliNB,7,7,153,{'alpha': 0.00010015277448929062},0.8918991996012263,0.8518131926730106,0.9839936961798417,0.9997689228558702,0.8392857142857143,0.8431663574520717,0.8442520442520443,0.9934995352307591,0.9194446910157065,0.8752319990895903,0.984385135858378,0.9998241863820526
BernoulliNB,8,8,153,{'alpha': 0.00010030106926161447},0.9144888568633863,0.8788418074176098,0.984626028806737,0.9997899853849705,0.9166666666666667,0.8278619528619529,0.8980078563411896,0.9964285714285714,0.9151236471124352,0.8755452898056985,0.9842915289906881,0.9998241093995931
BernoulliNB,9,9,153,{'alpha': 0.0001001970934082833},0.9058500906619247,0.8769119153773522,0.9837723638583966,0.9997570834004655,0.8964285714285715,0.8287337662337662,0.77000777000777,0.9903225806451613,0.9178099333302453,0.8769403262338642,0.9844689915502373,0.999822818429431
MLP,0,0,153,"{'hidden_layer_sizes': 32, 'activation': 'tanh', 'learning_rate_init': 0.0048403091172908265, 'batch_size': 128, 'alpha': 0.0006194690895228136}",0.9158273949306681,0.9383176758864842,0.995900982910618,0.9999217609931356,0.7866666666666667,0.7722455322455323,0.8396411669138942,0.9952632783882784,0.9113911129539447,0.9395743107659161,0.996268135192938,0.9999275463025861
MLP,1,1,153,"{'hidden_layer_sizes': 128, 'activation': 'tanh', 'learning_rate_init': 0.0010245539377615983, 'batch_size': 32, 'alpha': 0.00016864859235954746}",0.9057736432637573,0.9296608991438106,0.9951632067342338,0.9999115537590775,0.8,0.7864253393665159,0.9111476758535583,0.9976288580246914,0.9117372000601272,0.940773902827042,0.9955896059307108,0.9999269016536853
MLP,2,2,153,"{'hidden_layer_sizes': 64, 'activation': 'tanh', 'learning_rate_init': 0.0009774501294123512, 'batch_size': 64, 'alpha': 0.00011977670055379439}",0.9180657673518705,0.9270665684934469,0.9954237997592567,0.9999127425235632,0.9358974358974359,0.9504273504273504,0.9401234567901235,1.0,0.9183791849681774,0.9403291970273818,0.9960922765056806,0.9999416334820727
MLP,3,3,153,"{'hidden_layer_sizes': 128, 'activation': 'tanh', 'learning_rate_init': 0.001245141391182049, 'batch_size': 256, 'alpha': 0.0002584755132773325}",0.9003831051492476,0.9300103086281404,0.9956994700820458,0.9999323341179709,0.7063492063492064,0.6908693301882156,0.8180068613505146,0.9954526350770193,0.9014662924530513,0.9339578901226737,0.9955950516523294,0.999924002010482
MLP,4,4,153,"{'hidden_layer_sizes': 256, 'activation': 'tanh', 'learning_rate_init': 0.0003228380346231555, 'batch_size': 64, 'alpha': 0.0002427521120247676}",0.8768798767340007,0.9067456122605887,0.9955470111139589,0.9998737530991272,0.9916666666666667,0.9916457811194652,0.9736182561667327,0.999702380952381,0.9152536376476345,0.9409554387682144,0.9961825706619872,0.9999325409837594
MLP,5,5,153,"{'hidden_layer_sizes': 64, 'activation': 'relu', 'learning_rate_init': 0.002387968118196903, 'batch_size': 128, 'alpha': 0.0003199785772191318}",0.8963906982789416,0.9182001143577287,0.995681835753235,0.9999323958857274,0.9166666666666666,0.9111111111111111,0.9568627450980391,1.0,0.9243875563734423,0.9448154156219165,0.9963357938712045,0.9999353899525767
MLP,6,6,153,"{'hidden_layer_sizes': 128, 'activation': 'relu', 'learning_rate_init': 0.0003073545322561984, 'batch_size': 128, 'alpha': 0.0002523900043866525}",0.894871018085182,0.9130101545872437,0.9961739213018658,0.9999240626163184,0.8998397435897436,0.9132478632478632,0.9042735042735043,0.9978608369740468,0.900252979694907,0.9303762908379745,0.9962000762386752,0.9999339254404462
MLP,7,7,153,"{'hidden_layer_sizes': 128, 'activation': 'relu', 'learning_rate_init': 0.0008239347852105852, 'batch_size': 32, 'alpha': 0.00012606553083439385}",0.883040778878767,0.9152886107799199,0.995588818915904,0.9999015728633295,0.8214285714285714,0.8113553113553112,0.8625356125356125,0.9983037485827665,0.9059972180159086,0.931158996900138,0.9961281991569764,0.9999390343944843
MLP,8,8,153,"{'hidden_layer_sizes': 64, 'activation': 'tanh', 'learning_rate_init': 0.0025463926785043805, 'batch_size': 256, 'alpha': 0.0005230462724418184}",0.906721272256498,0.9290189294710846,0.995617136098351,0.999889731103049,1.0,1.0,1.0,1.0,0.9141535192180473,0.9434985441315286,0.9963085429629368,0.9999411607835539
MLP,9,9,153,"{'hidden_layer_sizes': 256, 'activation': 'tanh', 'learning_rate_init': 0.0009117928833017046, 'batch_size': 128, 'alpha': 0.00015055393836108346}",0.9153400134357466,0.9299183627591322,0.9957938900777868,0.9998993802323529,0.9476190476190477,0.954920634920635,0.9213675213675214,0.9982142857142856,0.913667125766532,0.9401330663910704,0.9963670045930271,0.9999397414902049
RandomForest,0,0,153,"{'n_estimators': 113, 'max_depth': 45, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': False, 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",0.9621315375594162,0.8190274273430361,0.9920137040665916,0.9997347282143945,0.9638095238095238,0.8962339743589743,0.9357031857031857,0.9929143772893773,0.9702625410639487,0.8179213457347262,0.9920150589669845,0.9998433835944809
RandomForest,1,1,153,"{'n_estimators': 229, 'max_depth': 49, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",0.9505894892344523,0.8514077632637147,0.9930584788451122,0.9997453399944642,0.8541666666666666,0.7636363636363637,0.9070707070707071,0.9931597222222223,0.9713947203974942,0.8562527396694535,0.9937703753737055,0.9999103705783534
