model,seed,test_acc_balanced,test_f1_macro,test_macro_auc,sum_score,Average sum score,
LogisticRegression,0,0.952698413,0.9099223,0.995616408,2.858,2.671,0.8903
LogisticRegression,1,0.854166667,0.793939394,0.99176929,2.64,,
LogisticRegression,2,0.951923077,0.930769231,0.991346154,2.874,,
LogisticRegression,3,0.81547619,0.67047619,0.987393952,2.473,,
LogisticRegression,4,0.919444444,0.744309764,0.996912202,2.661,,
LogisticRegression,5,0.869444444,0.677272727,0.982255592,2.529,,
LogisticRegression,6,0.922275641,0.787012987,0.992997884,2.702,,
LogisticRegression,7,0.886904762,0.770238095,0.993938669,2.651,,
LogisticRegression,8,0.94047619,0.821082621,0.993353175,2.755,,
LogisticRegression,9,0.85952381,0.711760462,0.992857143,2.564,,
AnnoyKNN,0,0.763809524,0.725982906,0.877396384,2.367,2.608,0.8693
AnnoyKNN,1,0.6875,0.6675,0.945261574,2.3,,
AnnoyKNN,2,0.858974359,0.86214178,0.961538462,2.683,,
AnnoyKNN,3,0.563492063,0.552213868,0.809655759,1.925,,
AnnoyKNN,4,0.991666667,0.991645781,0.995535714,2.979,,
AnnoyKNN,5,0.908333333,0.901864035,0.950906636,2.761,,
AnnoyKNN,6,0.903846154,0.91336727,0.952939795,2.77,,
AnnoyKNN,7,0.80952381,0.8003663,0.916148233,2.526,,
AnnoyKNN,8,0.982142857,0.979020979,0.987337662,2.949,,
AnnoyKNN,9,0.928571429,0.929059829,0.964404762,2.822,,
BernoulliNB,0,0.66,0.605050505,0.976546199,2.242,2.585,0.8617
BernoulliNB,1,0.861742424,0.799404762,0.98470056,2.646,,
BernoulliNB,2,0.753205128,0.748290598,0.995192308,2.497,,
BernoulliNB,3,0.787698413,0.740569561,0.993087321,2.521,,
BernoulliNB,4,0.811111111,0.828947368,0.990529927,2.631,,
BernoulliNB,5,0.811111111,0.748717949,0.99237013,2.552,,
BernoulliNB,6,0.81650641,0.816945315,0.993405026,2.627,,
BernoulliNB,7,0.839285714,0.843166357,0.993499535,2.676,,
BernoulliNB,8,0.916666667,0.827861953,0.996428571,2.741,,
BernoulliNB,9,0.896428571,0.828733766,0.990322581,2.715,,
MLP,0,0.786666667,0.772245532,0.995263278,2.554,2.757,0.9190
MLP,1,0.8,0.786425339,0.997628858,2.584,,
MLP,2,0.935897436,0.95042735,1,2.886,,
MLP,3,0.706349206,0.69086933,0.995452635,2.393,,
MLP,4,0.991666667,0.991645781,0.999702381,2.983,,
MLP,5,0.916666667,0.911111111,1,2.828,,
MLP,6,0.899839744,0.913247863,0.997860837,2.811,,
MLP,7,0.821428571,0.811355311,0.998303749,2.631,,
MLP,8,1,1,1,3,,
MLP,9,0.947619048,0.954920635,0.998214286,2.901,,
RandomForest,0,0.963809524,0.896233974,0.992914377,2.853,2.669,0.8897
RandomForest,1,0.854166667,0.763636364,0.993159722,2.611,,
RandomForest,2,0.926282051,0.838095238,0.996670976,2.761,,
RandomForest,3,0.680555556,0.599914966,0.983806885,2.264,,
RandomForest,4,0.991666667,0.91902834,0.998214286,2.909,,
RandomForest,5,0.886111111,0.71986532,0.993903319,2.6,,
RandomForest,6,0.928685897,0.856633222,0.994488463,2.78,,
RandomForest,7,0.845238095,0.737373737,0.998303749,2.581,,
RandomForest,8,0.94047619,0.702097902,0.998214286,2.641,,
RandomForest,9,0.89047619,0.814022579,0.989880952,2.694,,
XGBoost,0,0.897142857,0.784690799,0.990652473,2.672,2.639,0.8797
XGBoost,1,0.854166667,0.763636364,0.99589429,2.614,,
XGBoost,2,0.849358974,0.766666667,0.997802198,2.614,,
XGBoost,3,0.689484127,0.629166667,0.989216807,2.308,,
XGBoost,4,0.991666667,0.91902834,0.999404762,2.91,,
XGBoost,5,0.886111111,0.71986532,0.987567641,2.594,,
XGBoost,6,0.893429487,0.826923077,0.994208421,2.715,,
XGBoost,7,0.845238095,0.737373737,0.998700574,2.581,,
XGBoost,8,0.94047619,0.702097902,0.997321429,2.64,,
XGBoost,9,0.942857143,0.803030303,0.996428571,2.742,,
