model,seed,test_acc_balanced,test_f1_macro,test_macro_auc,Sum score,Average sum score,
LogisticRegression,0,0.9474,0.8017,0.9997,2.749,2.73782,0.9126
LogisticRegression,1,0.9625,0.83,0.9998,2.792,,
LogisticRegression,2,0.9546,0.8069,0.9997,2.761,,
LogisticRegression,3,0.9492,0.755,0.9997,2.704,,
LogisticRegression,4,0.9267,0.7431,0.9994,2.669,,
LogisticRegression,5,0.9231,0.7936,0.9996,2.716,,
LogisticRegression,6,0.9569,0.8229,0.9997,2.78,,
LogisticRegression,7,0.9374,0.7804,0.9996,2.717,,
LogisticRegression,8,0.9542,0.796,0.9997,2.75,,
LogisticRegression,9,0.9496,0.7906,0.9995,2.74,,
AnnoyKNN,0,0.8783,0.8971,0.9664,2.742,2.66399,0.8880
AnnoyKNN,1,0.803,0.8206,0.9435,2.567,,
AnnoyKNN,2,0.8176,0.8449,0.9708,2.633,,
AnnoyKNN,3,0.8515,0.8596,0.9562,2.667,,
AnnoyKNN,4,0.847,0.8758,0.949,2.672,,
AnnoyKNN,5,0.841,0.8637,0.9614,2.666,,
AnnoyKNN,6,0.8301,0.8429,0.9404,2.613,,
AnnoyKNN,7,0.8221,0.8297,0.952,2.604,,
AnnoyKNN,8,0.8822,0.8923,0.9653,2.74,,
AnnoyKNN,9,0.8795,0.891,0.965,2.736,,
BernoulliNB,0,0.9128,0.8742,0.9998,2.787,2.78072,0.9269
BernoulliNB,1,0.9223,0.8772,0.9998,2.799,,
BernoulliNB,2,0.9165,0.8686,0.9998,2.785,,
BernoulliNB,3,0.912,0.8709,0.9998,2.783,,
BernoulliNB,4,0.9034,0.8675,0.9998,2.771,,
BernoulliNB,5,0.906,0.8753,0.9998,2.781,,
BernoulliNB,6,0.9106,0.8721,0.9998,2.783,,
BernoulliNB,7,0.8919,0.8518,0.9998,2.744,,
BernoulliNB,8,0.9145,0.8788,0.9998,2.793,,
BernoulliNB,9,0.9059,0.8769,0.9998,2.783,,
MLP,0,0.9158,0.9383,0.9999,2.854,2.82495,0.9417
MLP,1,0.9058,0.9297,0.9999,2.835,,
MLP,2,0.9181,0.9271,0.9999,2.845,,
MLP,3,0.9004,0.93,0.9999,2.83,,
MLP,4,0.8769,0.9067,0.9999,2.784,,
MLP,5,0.8964,0.9182,0.9999,2.815,,
MLP,6,0.8949,0.913,0.9999,2.808,,
MLP,7,0.883,0.9153,0.9999,2.798,,
MLP,8,0.9067,0.929,0.9999,2.836,,
MLP,9,0.9153,0.9299,0.9999,2.845,,
RandomForest,0,0.9621,0.819,0.9997,2.781,2.77707,0.9257
RandomForest,1,0.9506,0.8514,0.9997,2.802,,
RandomForest,2,0.9505,0.8452,0.9998,2.796,,
RandomForest,3,0.9415,0.8263,0.9997,2.768,,
RandomForest,4,0.9381,0.8237,0.9997,2.762,,
RandomForest,5,0.9275,0.8423,0.9998,2.77,,
RandomForest,6,0.9488,0.8299,0.9999,2.779,,
RandomForest,7,0.9278,0.8256,0.9996,2.753,,
RandomForest,8,0.9516,0.8504,0.9996,2.802,,
RandomForest,9,0.9373,0.824,0.9996,2.761,,
XGBoost,0,0.9561,0.8164,0.9997,2.772,2.77236,0.9241
XGBoost,1,0.9531,0.8193,0.9997,2.772,,
XGBoost,2,0.9572,0.8293,0.9997,2.786,,
XGBoost,3,0.9463,0.8435,0.9998,2.79,,
XGBoost,4,0.9347,0.8334,0.9996,2.768,,
XGBoost,5,0.9299,0.8326,0.9996,2.762,,
XGBoost,6,0.944,0.8217,0.9999,2.766,,
XGBoost,7,0.9343,0.8219,0.9993,2.756,,
XGBoost,8,0.9507,0.8419,0.9997,2.792,,
XGBoost,9,0.9378,0.8231,0.9994,2.76,,
