,0
auc_macro,0.9999965767268097
auc_Arts and crafts and etiquette supplies manufacturing,1.0
auc_Basic chemical raw materials manufacturing,0.9999813747830435
auc_Battery manufacturing,0.9999520642772609
"auc_Coatings, printing ink, paint and similar products manufacture",0.999820448123683
auc_Commonly used non-ferrous metal acquisition,1.0
auc_Commonly used non-ferrous metal smelting,0.9999961392048307
auc_Electronic components and electronic special materials,0.9997984386368552
auc_Environmental governance industry,0.9999986000657813
"auc_Explosives, fire and fireworks product manufacturing",0.9997881116510341
auc_Ferroalloy smelting,1.0
auc_Fur tanning and products processing,0.9996750402667496
auc_Gas drilling,0.9999985123917765
auc_Glass manufacturing,0.9999491782063573
auc_Lighting appliance manufacturing,0.9999830479742329
auc_Metal surface treatment and heat treatment processing,0.9999582366939106
auc_Noble metal acquisition,1.0
auc_Noble metal smelting,1.0
auc_Rare and rare earth metals smelting,1.0
auc_Refined petroleum products manufacturing,0.99999978678593
auc_Steelmaking,1.0
auc_Synthetic materials manufacturing,0.9995345575558884
auc_Universal instruments manufacturing,0.9999434964402758
auc_Unspecified,0.9999860493718702
auc_Veterinary drug manufacturing,0.9999492221130877
auc_Wood processing,0.9999975926006173
