trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,6,41,cosine,252,"[0.8288409137694426, 0.8084954519519022, 0.8163191274435897, 0.8198324006546216, 0.8212247757175904]","[0.8529206809965367, 0.8337297156198596, 0.839636710305239, 0.8423952376566538, 0.8568605699490733]","[0.9526540969551932, 0.955065098842743, 0.9610044944848104, 0.9652736777258224, 0.957546111824502]","[2.6344156917211725, 2.597290266414505, 2.616960332233639, 2.627501316037098, 2.635631457491166]",0.8189425339074292,0.8451085829054724,0.9583086959666142,2.6223598127795156,0.014181342470081024
1,6,21,cosine,35,"[0.8148969652993755, 0.799650037410971, 0.7955516068277345, 0.7944190146880262, 0.7922891509146168]","[0.8411148469823257, 0.8254341746171414, 0.8241934970212093, 0.8187204175894125, 0.8413747689678904]","[0.9446065913145765, 0.9548777318519117, 0.9659314495875744, 0.9591583362419378, 0.952664365411995]","[2.600618403596278, 2.579961943880024, 2.5856765534365183, 2.5722977685193764, 2.586328285294502]",0.7993613550281449,0.8301675410355959,0.9554476948815991,2.58497659094534,0.009304649927949573
2,16,47,cosine,302,"[0.7922088852659634, 0.7855163119064223, 0.7840532523920052, 0.7559013485129041, 0.7663866328658301]","[0.8058570680043619, 0.8184227655340719, 0.8110476490497482, 0.7932251362184485, 0.7921822296843802]","[0.976059807234186, 0.9715386937179908, 0.9791601144901043, 0.9826796441283564, 0.9697684454795481]","[2.5741257605045114, 2.575477771158485, 2.5742610159318575, 2.531806128859709, 2.5283373080297586]",0.7768132861886251,0.8041469696982022,0.9758413410100371,2.5568015968968645,0.021857477466079682
3,48,19,manhattan,376,"[0.6921396928765243, 0.6941299806983366, 0.7092597065198953, 0.6965678517394296, 0.6872080956239581]","[0.7265571556993763, 0.729974550648584, 0.7488321834744442, 0.7234521341248186, 0.7243416721170073]","[0.9884937318782208, 0.9880300548443799, 0.9868934713796793, 0.9916586000468374, 0.9861940377359752]","[2.407190580454121, 2.4121345861913004, 2.4449853613740187, 2.4116785859110856, 2.3977438054769404]",0.6958610654916288,0.7306315392128461,0.9882539791770185,2.4147465838814934,0.01598002796612851
4,35,29,manhattan,185,"[0.6982759817836017, 0.6903956357676256, 0.6955392302782734, 0.7049430235318827, 0.6963245427599988]","[0.7332532208684577, 0.7193701040362585, 0.7315167454008105, 0.7319618059201903, 0.7379691816491026]","[0.9837791614632772, 0.9739483806549036, 0.9834502561306483, 0.988837293637258, 0.9824433703209722]","[2.4153083641153366, 2.3837141204587877, 2.410506231809732, 2.4257421230893312, 2.4167370947300735]",0.6970956828242765,0.7308142115749638,0.9824916924414119,2.410401586840652,0.014225181814585108
5,43,41,manhattan,178,"[0.6828527464454887, 0.6765264921987079, 0.6861847454941703, 0.6873770139826949, 0.6966090571594943]","[0.7144492771029937, 0.7084285044160812, 0.713647088596084, 0.7134305187073176, 0.7350273258901358]","[0.9879363666108163, 0.984324220115224, 0.9865196533126214, 0.9915384978783591, 0.9918288648316675]","[2.385238390159299, 2.369279216730013, 2.3863514874028757, 2.3923460305683717, 2.4234652478812975]",0.6859100110561112,0.7169965429425226,0.9884295205497378,2.3913360745483714,0.01778671769022375
6,34,25,hamming,92,"[0.7371883415275531, 0.7188322437497783, 0.7234158932246457, 0.7256840533967609, 0.7202422766569471]","[0.7700485965711255, 0.7553458340819601, 0.7647857828680048, 0.7594295553263529, 0.7591895349660956]","[0.9914987373832631, 0.9602803931937971, 0.9894058135697529, 0.9818382637756373, 0.9830063884240822]","[2.4987356754819414, 2.4344584710255353, 2.4776074896624034, 2.4669518724987514, 2.4624382000471248]",0.725072561711137,0.7617598607627077,0.9812059192693064,2.4680383417431515,0.020947766517782265
7,38,27,manhattan,3,"[0.656286793329806, 0.6619999280700335, 0.6681989402672397, 0.6618164770185156, 0.6426593248575281]","[0.6887427675749138, 0.6976342343166082, 0.7002945251641948, 0.686643913463812, 0.6786303543489184]","[0.9821895272358655, 0.9733871503055356, 0.9792585253183749, 0.9774465155626959, 0.9846271470186383]","[2.3272190881405854, 2.3330213126921775, 2.3477519907498094, 2.3259069060450237, 2.3059168262250846]",0.6581922927086246,0.6903891589736894,0.9793817730882222,2.327963224770536,0.01347594439922718
8,7,39,cosine,29,"[0.8098662931925404, 0.7976122320962541, 0.7835469042627478, 0.7812445684734771, 0.7722792537825572]","[0.8376886669977759, 0.8202618435792804, 0.8078502880675326, 0.8064742939882211, 0.8052318461362898]","[0.9577070908592725, 0.9487571071475318, 0.9609514510796785, 0.9620083003159631, 0.9523818561627196]","[2.6052620510495887, 2.566631182823066, 2.552348643409959, 2.5497271627776614, 2.5298929560815666]",0.7889098503615154,0.8155013877538199,0.9563611611130332,2.5607723992283686,0.025140212345084484
9,17,34,manhattan,238,"[0.738670379487242, 0.7596087822829619, 0.7421709198367339, 0.7586927399601235, 0.7624615012912912]","[0.7705651314421587, 0.795838472873324, 0.7748876980694013, 0.7841693446165542, 0.8009230433318086]","[0.980278648131817, 0.972357779666903, 0.9784233642263829, 0.984734484506663, 0.9633970095312208]","[2.4895141590612178, 2.5278050348231886, 2.4954819821325183, 2.5275965690833404, 2.5267815541543204]",0.7523208645716706,0.7852767380666494,0.9758382572125972,2.513435859850917,0.017202883046675662
