trial_number,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,63.41310723409242,"[0.3193885245840116, 0.32313805780169175, 0.3291939573162661, 0.32493297154615847, 0.32625000220769507]","[0.3441066433112093, 0.34691432634625374, 0.35264090921782865, 0.34809306646212945, 0.3499668883259671]","[0.767128594224801, 0.7771041600197619, 0.7795719993295378, 0.7730640757566023, 0.7634066852666248]","[1.430623762120022, 1.4471565441677074, 1.4614068658636326, 1.4460901137648903, 1.439623575800287]",0.32458070269116457,0.3483443667326777,0.7720551029194656,1.444980172343308,0.010105488264423763
1,0.19204079494910203,"[0.866948408727444, 0.8818509897025506, 0.871090785189579, 0.9164211784896825, 0.8728462980208657]","[0.786796348873503, 0.8101455308116498, 0.7894831153279652, 0.8184363533201973, 0.8046310220537454]","[0.9995731043765543, 0.9994789919700007, 0.9997509675892471, 0.9997332904100666, 0.9994122199562748]","[2.6533178619775013, 2.691475512484201, 2.6603248681067915, 2.734590822219946, 2.676889540030886]",0.8818315320260244,0.8018984740774121,0.9995897148604287,2.6833197209638646,0.02886334972494176
2,68.56558090115632,"[0.3166497777894826, 0.31919273630556977, 0.3239896059229966, 0.3220419687195531, 0.3225777962970075]","[0.34089312286310586, 0.34345212200805186, 0.3476733073108931, 0.3453699039235738, 0.3469416368910245]","[0.7610780728550826, 0.7707739106075451, 0.773018164888602, 0.766464468536074, 0.7569880891619877]","[1.4186209735076711, 1.4334187689211668, 1.4446810781224917, 1.4338763411792008, 1.4265075223500197]",0.3208903770069219,0.34486601859932986,0.7656645412098583,1.4314209368161102,0.00864676116918304
3,1.9448941142879623,"[0.7621758089750951, 0.7760761757863566, 0.7769780568263824, 0.7792348476901962, 0.7614232840163417]","[0.7356010431089601, 0.7441753871788694, 0.748146565486835, 0.7384282996311158, 0.7306464107518645]","[0.9975257846929018, 0.9932572158123435, 0.9978765597509064, 0.9982028443271469, 0.9925069927308098]","[2.495302636776957, 2.5135087787775694, 2.5230011820641236, 2.515865991648459, 2.484576687499016]",0.7711776346588743,0.739399541231529,0.9958738794628216,2.5064510553532253,0.0142487500174407
4,1.5359353912360068,"[0.7617867686853463, 0.7796506743786581, 0.7827622155059468, 0.7789711477993077, 0.7663803570709721]","[0.7314730670915361, 0.7436359045342208, 0.7503628513891626, 0.739291055974657, 0.7338106779559775]","[0.9983970005779328, 0.9958916402951549, 0.9987376231781394, 0.9987896044405492, 0.9954111819406173]","[2.4916568363548155, 2.5191782192080336, 2.531862690073249, 2.517051808214514, 2.495602216967567]",0.7739102326880463,0.7397147113891108,0.9974454100864787,2.511070354163636,0.01516564830628035
5,0.001979415530792325,"[0.9116500295850689, 0.9083019690983097, 0.9296549930789795, 0.948756763428263, 0.8810769453743629]","[0.8452400813577614, 0.8488934178058419, 0.8620227704181914, 0.87975661032827, 0.839992112809847]","[0.9997466656401951, 0.9996545247629324, 0.9998472351169838, 0.9998387575589947, 0.9997518120694167]","[2.7566367765830253, 2.756849911667084, 2.791524998614155, 2.8283521313155275, 2.7208208702536263]",0.9158881401129969,0.8551809985439824,0.9997677990297046,2.770836937686684,0.03642768682420863
6,72.05211419490816,"[0.3108711289527107, 0.31234076262869614, 0.3162467710425581, 0.31565302470794127, 0.3129307893624851]","[0.3355594992315217, 0.33735933696642184, 0.34097467532445974, 0.33971868947090933, 0.33765967702852584]","[0.757177715405716, 0.7666449031682022, 0.7688721465680364, 0.7623093729586562, 0.7530184773972212]","[1.4036083435899482, 1.4163450027633202, 1.4260935929350542, 1.417681087137507, 1.4036089437882322]",0.31360849533887825,0.3382543756043677,0.7616045230995664,1.4134673940428126,0.008716038746646566
7,0.00010898871475877331,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.999758067158115, 0.999667941188704, 0.9998569375014741, 0.9998472318537925, 0.9997720973973128]","[2.770898120411548, 2.7803201827759034, 2.8068472341945023, 2.843784885289777, 2.73448542301006]",0.9163438264709247,0.8711428876455536,0.9997804550198797,2.787267169136358,0.03655065057332931
8,0.003295294050810002,"[0.9116470701296088, 0.9082590100807038, 0.9296402012736396, 0.9487167634282629, 0.8810710260254911]","[0.8441289557320388, 0.8468719592550772, 0.8535091573638168, 0.8764014393730991, 0.8388702520234324]","[0.999743860603684, 0.999650688689896, 0.9998437685387919, 0.9998353565653426, 0.9997459879543722]","[2.7555198864653314, 2.754781658025677, 2.7829931271762485, 2.824953559366705, 2.7196872660032954]",0.9158668141875413,0.8519563527494929,0.9997639324704174,2.7675870994074514,0.03502070078450173
9,0.040620867542822764,"[0.8937569685193797, 0.9030158773076441, 0.9230337417164277, 0.9468077264459196, 0.8802731025996089]","[0.8144449482437369, 0.8292705020595674, 0.8194271891469944, 0.8540128818935092, 0.8247741077248355]","[0.9996812903264193, 0.99959476245139, 0.9998136347006352, 0.9998107502568692, 0.999642758810402]","[2.707883207089536, 2.7318811418186018, 2.7422745655640575, 2.800631358596298, 2.7046899691348463]",0.909377483317796,0.8283859258137287,0.9997086393091431,2.737472048440668,0.034622493044342825
