trial_number,param_C,param_penalty,param_l1_ratio,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,22.75940523697261,l2,0.18612534394877436,"[0.9364197091193281, 0.9513879384479753, 0.9635990364415702, 0.9223859111280701, 0.9355121880397378]","[0.7921499857174106, 0.7833864308520974, 0.7347301402744633, 0.7673223564779681, 0.8008528830245516]","[0.9995558156344978, 0.9995379554162075, 0.9996176351653923, 0.9993771913378723, 0.9994766774694493]","[2.7281255104712363, 2.73431232471628, 2.697946811881426, 2.6890854589439104, 2.7358417485337387]",0.9418609566353362,0.7756883592692982,0.9995130550046838,2.7170623709093187,0.01959964891184735
1,0.3718025681423991,l1,0.5980155457568722,"[0.9352098895233424, 0.9548396676840486, 0.9653191010181698, 0.9331524322758042, 0.9157879545173765]","[0.733067167363869, 0.6943891914995527, 0.7584451380249674, 0.7002152379172698, 0.8009298706865603]","[0.9994684033151828, 0.9991918059212296, 0.9995876745107138, 0.9983633374370331, 0.9979917398863798]","[2.6677454602023944, 2.648420665104831, 2.723351913553851, 2.6317310076301075, 2.714709565090317]",0.9408618090037482,0.7374093210984438,0.9989205922141078,2.6771917223163,0.03611657226889823
2,0.042545002807676875,l1,0.616284076716475,"[0.868259940756056, 0.9230456559564633, 0.9459307360525709, 0.896054654171404, 0.8954874646698161]","[0.6482586460174337, 0.6392818747189954, 0.6446518001128552, 0.636281957625054, 0.648505690241264]","[0.997085866041252, 0.9976473145038391, 0.998884624804644, 0.9970177706188272, 0.995087812714381]","[2.5136044528147417, 2.5599748451792976, 2.58946716097007, 2.529354382415285, 2.539080967625461]",0.9057556903212621,0.6433959937431204,0.9971446777365888,2.546296361800971,0.02630084523435226
3,87.36663890805156,elasticnet,0.7590075460564171,"[0.9335375285816986, 0.9648332523244946, 0.9767323004144057, 0.937005149441226, 0.9287657904650297]","[0.7792133853866631, 0.7866345661459553, 0.7706149288901436, 0.7713448474747444, 0.7684589127333676]","[0.9994110782832898, 0.9994765768941446, 0.9994851898428934, 0.999538344162825, 0.9994384884628227]","[2.7121619922516516, 2.7509443953645945, 2.7468324191474425, 2.7078883410787955, 2.6966631916612203]",0.9481748042453709,0.7752533281261748,0.9994699355291952,2.722898067900741,0.021855313334407045
4,0.0002122496813612604,l2,0.6673054006249338,"[0.8094632057749336, 0.7420626622063788, 0.7771851683587944, 0.8754187610564574, 0.7822492060973621]","[0.42034402690425793, 0.43657847726092647, 0.45249115425679853, 0.4407523514025823, 0.41811974377416034]","[0.9925575016992266, 0.9889524339728151, 0.9431859679139517, 0.9915723714429093, 0.9927044511372769]","[2.2223647343784183, 2.1675935734401204, 2.1728622905295447, 2.307743483901949, 2.1930734010087996]",0.7972758006987852,0.43365715071974514,0.981794545233236,2.2127274966517665,0.05125134796922272
5,0.17604395863338923,l2,0.2735609282588481,"[0.8557470908301116, 0.8623848202305686, 0.9222511572382703, 0.8397657312895963, 0.8658427262870179]","[0.5846683863113001, 0.6698014239550428, 0.6073049720831746, 0.5695590260364723, 0.6458014423244467]","[0.994628789908807, 0.9943407401104557, 0.9971974948847994, 0.9917319116471376, 0.9984923984633802]","[2.435044267050219, 2.5265269842960674, 2.5267536242062443, 2.4010566689732062, 2.510136567074845]",0.869198305175113,0.6154270501420873,0.9952782670029159,2.4799036223201165,0.05198441172992905
6,2.0121255636529467,l1,0.5792047305112933,"[0.8977367824319493, 0.9529334049181923, 0.9724959837640867, 0.942011877962221, 0.919959848902765]","[0.7818324436629761, 0.8115792173740425, 0.7271657167079779, 0.7541682347228478, 0.7923467918833228]","[0.9997257478097968, 0.9995606608629098, 0.9997935179076392, 0.9991042853754627, 0.999322180383742]","[2.6792949739047223, 2.764073283155145, 2.699455218379704, 2.6952843980605317, 2.71162882116983]",0.9370275795958429,0.7734184808702333,0.9995012784679101,2.7099473389339863,0.028972742814627327
7,2.0136912054078766,l1,0.4219780072294185,"[0.956726614730894, 0.9549004066658604, 0.9681657771837496, 0.9470276269651484, 0.9271027409469289]","[0.7062425797071781, 0.8052987322130797, 0.7864468732809391, 0.7612304826283531, 0.7677721064401614]","[0.9991424120028226, 0.9994319892848238, 0.999565785293352, 0.9989460196711514, 0.999185189713004]","[2.6621116064408947, 2.7596311281637638, 2.7541784357580408, 2.707204129264653, 2.694060037100094]",0.9507846332985164,0.7653981548539422,0.9992542791930308,2.7154370673454893,0.036938792915657805
8,3.013452173077331,elasticnet,0.4603994245961328,"[0.9084111100431685, 0.9596834022875556, 0.97053119069691, 0.9494096586569029, 0.9343204563594457]","[0.7988524287979536, 0.769863524348241, 0.7099872967525765, 0.7337051094973296, 0.7201421648238054]","[0.9996580278926822, 0.9996059798943083, 0.999522070000798, 0.9988291667853493, 0.997713239587677]","[2.7069215667338042, 2.729152906530105, 2.6800405574502846, 2.6819439349395817, 2.652175860770928]",0.9444711636087966,0.7465101048439812,0.9990656968321631,2.690046965284941,0.026130574698505042
9,0.017492448525552984,l1,0.7167047730463038,"[0.8713937675201943, 0.8938183912454957, 0.8203618591912342, 0.8601698891533069, 0.7685561919826093]","[0.5438911540407264, 0.615584178225657, 0.5913114194375261, 0.5017010390226337, 0.42683194050780776]","[0.9899314857019754, 0.9970315376721224, 0.9892973912688936, 0.991884583104711, 0.9654071187843788]","[2.405216407262896, 2.506434107143275, 2.400970669897654, 2.3537555112806516, 2.160795251274796]",0.8428600198185681,0.5358639462468702,0.9867104233064163,2.365434389371855,0.11378921708781368
10,95.33010775374025,elasticnet,0.8858132811165633,"[0.9300892484345451, 0.9551961942702252, 0.955602412409603, 0.9387603332684336, 0.9438329943192356]","[0.7748221479222639, 0.7842907307850508, 0.780398611977021, 0.7945950051520144, 0.7835924504310483]","[0.9996168259852729, 0.9996407285357674, 0.999579436702488, 0.9995549969221363, 0.9995767682339445]","[2.704528222342082, 2.7391276535910434, 2.735580461089112, 2.7329103353425843, 2.727002212984228]",0.9446962365404085,0.7835397892534797,0.9995937512759218,2.72782977706981,0.012305888867239184
