trial_number,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_batch_size,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,64,tanh,0.00010278493120340689,256,0.08916656398688455,"[0.6583051735129309, 0.6889961241758463, 0.6832719680824337, 0.6962213510609859, 0.6785372109412476]","[0.6920446112786501, 0.7199918353972751, 0.7118406914325939, 0.7306134975565781, 0.7166113029479605]","[0.99955106748445, 0.9996332820107473, 0.9995071797930899, 0.9996803564058748, 0.9995408343288054]","[2.349900852276031, 2.4086212415838686, 2.3946198393081177, 2.426515205023439, 2.3946893482180136]",0.6810663655546889,0.7142203877226115,0.9995825440045933,2.394869297281894,0.025348905720218307
1,32,relu,0.013970885834033983,32,0.0003190924666187638,"[0.8578382652113515, 0.8511537540200161, 0.8403900462756367, 0.9387487653397403, 0.8316295226885336]","[0.859952410126926, 0.8770775008606944, 0.8648601194220497, 0.953404162870821, 0.8453498609071025]","[0.9997670089003033, 0.9999023333772196, 0.9998738469972865, 0.9999315646791754, 0.9997465833880463]","[2.717557684238581, 2.72813358825793, 2.7051240126949727, 2.8920844928897367, 2.6767259669836827]",0.8639520707070556,0.8801288108375187,0.9998442674684063,2.7439251490129806,0.07604875543054712
2,128,logistic,0.0012520345697218055,128,0.007443005512533,"[0.723053727950472, 0.7302473128472583, 0.7362654643866651, 0.7188860991528443, 0.7180381630279778]","[0.7518338578703501, 0.7594042781410159, 0.7664669586903213, 0.753979155924566, 0.7560427262108024]","[0.9997396523455052, 0.9997922751379934, 0.9998055428673885, 0.9998471004975247, 0.9997466988939189]","[2.474627238166327, 2.4894438661262677, 2.502537965944375, 2.4727123555749353, 2.473827588132699]",0.7252981534730434,0.7575453953674111,0.9997862539484661,2.482629802788921,0.011684538519126387
3,16,logistic,0.03819483728572229,64,0.0003526437683369515,"[0.7880760184011332, 0.8035985755297999, 0.8283030530222161, 0.8768526760364199, 0.8014830206168164]","[0.8048326208330713, 0.8395217293266891, 0.8586961854919118, 0.897261963297442, 0.8188040341197866]","[0.9997911922322587, 0.9997596232115764, 0.9998213923888204, 0.9999055397248601, 0.9998504691034547]","[2.5926998314664633, 2.6428799280680657, 2.6868206309029485, 2.774020179058722, 2.6201375238400577]",0.819662668721277,0.8438233066137801,0.9998256433321939,2.6633116186672514,0.06336645790452192
4,16,logistic,0.024086549857284596,32,0.0005449556074899307,"[0.7540702354698438, 0.7807965172469571, 0.7818532269084703, 0.7632554737994492, 0.7348643128760279]","[0.7885337976739832, 0.8166178595244403, 0.7947017550725499, 0.7920117805502709, 0.7670069998334208]","[0.999726501308922, 0.9996484769299374, 0.9997812311749523, 0.999888474615664, 0.9997705410288915]","[2.5423305344527494, 2.5970628537013347, 2.5763362131559724, 2.555155728965384, 2.5016418537383402]",0.7629679532601497,0.791774438530933,0.9997630450116735,2.554505436802756,0.03234478650664104
5,32,logistic,0.000284840269615527,32,0.003499138165983302,"[0.631292574795097, 0.6408986062208352, 0.64103970501336, 0.6261699474587075, 0.6471423666198093]","[0.654642891645008, 0.6600084945365903, 0.6569038845593985, 0.6452894298778642, 0.6751037956379055]","[0.9994046296098661, 0.9993516713676119, 0.9992842403637384, 0.9992495393785746, 0.9994540236627851]","[2.2853400960499712, 2.3002587721250376, 2.297227829936497, 2.2707089167151464, 2.3217001859204998]",0.6373086400215618,0.6583896992513533,0.9993488208765152,2.2950471601494304,0.016904893905347544
6,32,relu,0.0002872186928063037,32,0.0015077992552568482,"[0.78057652992626, 0.7872342434120521, 0.8184505901920827, 0.814089565051001, 0.7822461808944946]","[0.8022315063538354, 0.8042149379478941, 0.8466362318548721, 0.8385382248630919, 0.8122679245758369]","[0.9998229963701337, 0.9998885586797926, 0.9999254789807926, 0.9999336172163242, 0.9998388312549443]","[2.5826310326502293, 2.5913377400397386, 2.6650123010277476, 2.6525614071304173, 2.594352936725276]",0.7965194218951781,0.8207777651191062,0.9998818965003975,2.6171790835146815,0.03441598858227145
7,16,tanh,2.151475922967804e-05,128,0.0001501897458814899,"[0.6349810827347806, 0.6697768523955102, 0.6819478665663378, 0.6606194960743538, 0.6337456567527912]","[0.659027241644131, 0.6925292822901105, 0.7068445084723582, 0.6825599685878265, 0.6522244883140297]","[0.9992891345438015, 0.9994385073991903, 0.9994221281252237, 0.9995558483168534, 0.9992209377718758]","[2.293297458922713, 2.361744642084811, 2.38821450316392, 2.342735312979034, 2.2851910828386965]",0.6562141909047547,0.6786370978616911,0.999385311231389,2.3342365999978347,0.03955757969688985
8,128,relu,0.0007277105970999957,128,0.00013190867985233195,"[0.912259934998449, 0.8946596306494201, 0.9116398005033011, 0.9338370730867404, 0.8638695685439572]","[0.9282412132848187, 0.9309276188877067, 0.9365579393297285, 0.9568878435691375, 0.876965693700477]","[0.9998718652370836, 0.9999075528228617, 0.9999483788020833, 0.9999431790597403, 0.9998870846120727]","[2.840373013520351, 2.8254948023599886, 2.848146118635113, 2.8906680957156183, 2.740722346856507]",0.9032532015563735,0.9259160617543737,0.9999116121067683,2.829080875417516,0.04920177044653413
9,128,relu,0.06290363748127598,32,0.0007313251029950543,"[0.7012288535612298, 0.7116597508654167, 0.7266516734622411, 0.6879584734259176, 0.70401036304004]","[0.7084326927689513, 0.737078849496175, 0.7462893690940778, 0.6704396943355255, 0.6945653684438752]","[0.997964888593095, 0.9980055932602901, 0.9979288595330474, 0.9967475977295479, 0.9981568198860655]","[2.4076264349232757, 2.446744193621882, 2.4708699020893663, 2.355145765490991, 2.396732551369981]",0.7063018228709691,0.711361194827721,0.9977607518004092,2.415423769499099,0.0402463424804978
