trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,105,44,5,10,,True,gini,balanced,"[0.9279852811738856, 0.9296409840915842, 0.9412361785923163, 0.9405628452068345, 0.9365653818038112]","[0.7464686945524579, 0.7883852435309836, 0.7691486162177106, 0.7749459282061469, 0.7917536742740506]","[0.9993510943816112, 0.9970020405442395, 0.9928741169723712, 0.9940226488033805, 0.9969071854859268]","[2.6738050701079548, 2.715028268166807, 2.703258911782398, 2.709531422216362, 2.7252262415637887]",0.9351981341736865,0.77414043135627,0.9960314172375059,2.705369982767462,0.017353221029163812
1,89,45,7,5,log2,True,gini,balanced,"[0.9424292893937453, 0.9576321827373151, 0.9540393449171759, 0.9450838469690923, 0.9449773528509086]","[0.7627631709595897, 0.7780872865522013, 0.7737430915940697, 0.7651304257988536, 0.7829200914385624]","[0.9994663722578281, 0.9991260291896212, 0.9993614934683887, 0.9994272853240348, 0.9995809876844436]","[2.704658832611163, 2.7348454984791375, 2.7271439299796345, 2.7096415580919806, 2.7274784319739145]",0.9488324033736474,0.7725288132686553,0.9993924335848634,2.7207536502271656,0.011551279563113822
2,91,49,20,2,,True,gini,balanced_subsample,"[0.9089837039985054, 0.9278087274745532, 0.9398750500321337, 0.9278959708798193, 0.9390016175297646]","[0.7736796623353861, 0.8143315291790988, 0.7942546564897048, 0.8094503979814394, 0.7972453925750429]","[0.9987635316725672, 0.9925238449315961, 0.9916377439071828, 0.9923421100041934, 0.9959141814455867]","[2.6814268980064586, 2.734664101585248, 2.7257674504290215, 2.729688478865452, 2.7321611915503943]",0.9287130139829551,0.7977923277121344,0.9942362823922253,2.7207416240873146,0.01987558667498954
3,297,15,17,9,sqrt,True,gini,balanced,"[0.923303479658075, 0.9354986175817599, 0.9469072430229325, 0.9384363845563456, 0.9258476968591414]","[0.6756507423552703, 0.7124646295742744, 0.7082842244149598, 0.7242844650849385, 0.7182012954978305]","[0.9970736072179808, 0.9978322758113728, 0.9975735620920364, 0.9978648394807645, 0.9977011525214678]","[2.596027829231326, 2.645795522967407, 2.6527650295299288, 2.6605856891220485, 2.64175014487844]",0.9339986843356509,0.7077770713854546,0.9976090874247244,2.63938484314583,0.02260543023887891
4,57,7,4,3,sqrt,False,entropy,balanced,"[0.890488508846416, 0.8949744126613313, 0.9036338941223155, 0.9011523317206792, 0.8982003674024004]","[0.4978513666409326, 0.4528352114125881, 0.47470707319919475, 0.48967017781727434, 0.48576113275256455]","[0.9921634547013385, 0.9923789082936838, 0.9927760892132408, 0.9922457239231219, 0.9931135188965423]","[2.380503330188687, 2.3401885323676033, 2.371117056534751, 2.3830682334610755, 2.3770750190515075]",0.8976899029506284,0.4801649923645108,0.9925355390055856,2.3703904343207247,0.015622828094363857
5,73,20,2,6,sqrt,True,gini,balanced,"[0.9397490839221441, 0.9519907667749762, 0.9346952167243824, 0.9458209655017804, 0.9334310821842543]","[0.7307946729866649, 0.7546377421940155, 0.7420842238841828, 0.7375814662606607, 0.7586624874855582]","[0.9981033340115922, 0.9986049176255446, 0.9985530430213205, 0.9988158218390448, 0.9987405321373417]","[2.668647090920401, 2.7052334265945364, 2.6753324836298855, 2.682218253601486, 2.6908341018071544]",0.9411374230215076,0.7447521185622165,0.9985635297269688,2.684453071310693,0.012732236738723536
6,196,48,19,2,sqrt,False,gini,balanced_subsample,"[0.936431403424887, 0.953221320353618, 0.9529580264087939, 0.9510241704378687, 0.9438222123091873]","[0.8042616893388201, 0.8391370934646819, 0.8254880218427236, 0.841550225375107, 0.836314879450297]","[0.9996203761199927, 0.9993575270021072, 0.999644166899121, 0.9996289566556915, 0.9997065086651835]","[2.7403134688837, 2.791715940820407, 2.7780902151506384, 2.7922033524686674, 2.779843600424668]",0.947491426586871,0.829350381894326,0.9995915070684191,2.7764333155496166,0.018980365549597967
7,77,25,18,6,log2,True,gini,balanced_subsample,"[0.943023126700682, 0.9529297983847842, 0.9501093496332358, 0.9377027803634451, 0.9380549509549233]","[0.7241149162872088, 0.764772315914578, 0.7635539389378367, 0.7159498257888052, 0.7427205522885858]","[0.9988710449363079, 0.9991589536580284, 0.998964428313306, 0.9991548692948943, 0.9993506995743604]","[2.6660090879241984, 2.7168610679573906, 2.7126277168843784, 2.6528074754471445, 2.6801262028178696]",0.9443640012074141,0.7422223098434029,0.9990999991553794,2.6856863102061963,0.02528568986863027
8,163,36,8,4,log2,True,entropy,balanced_subsample,"[0.9393143293640155, 0.9588108621767103, 0.9496376484392757, 0.9456210654781984, 0.9405766696861171]","[0.764537043415277, 0.7774000795793357, 0.7670556284118798, 0.7648293360131966, 0.7664821441857639]","[0.9994419437509267, 0.9991676276480996, 0.9993209708279787, 0.9994046799550326, 0.9995700160286637]","[2.7032933165302193, 2.7353785694041455, 2.7160142476791345, 2.7098550814464275, 2.7066288299005445]",0.9467921150288634,0.7680608463210905,0.9993810476421402,2.7142340089920944,0.011375185201233337
9,292,39,16,8,,True,gini,balanced_subsample,"[0.931570734602731, 0.9329366649361353, 0.9337584514164772, 0.9203889436471274, 0.9345934563926711]","[0.7505555014974895, 0.7993614841593677, 0.78319575101065, 0.7909409339876389, 0.793481860588336]","[0.9992902502753731, 0.9987944632149554, 0.9928176347261207, 0.9987558676662863, 0.9992143383339385]","[2.6814164863755936, 2.731092612310458, 2.709771837153248, 2.7100857453010527, 2.7272896553149457]",0.9306496501990283,0.7835071062486965,0.9977745108433348,2.7119312672910594,0.017562791178507224
10,225,34,13,1,sqrt,False,entropy,balanced_subsample,"[0.9232732396272874, 0.9389994549631934, 0.9417088067299468, 0.9281973919305534, 0.9540851455156191]","[0.8049846650066315, 0.8442090604235788, 0.8288669865859418, 0.8415807485759346, 0.8417807874168003]","[0.9996487980545876, 0.9994546362575731, 0.999682967616095, 0.9996486198035825, 0.9997425243895072]","[2.7279067026885064, 2.7826631516443454, 2.7702587609319833, 2.76942676031007, 2.7956084573219266]",0.9372528077533199,0.8322844496017774,0.9996355092242691,2.7691727665793664,0.022737493968471474
11,243,33,13,1,sqrt,False,entropy,balanced_subsample,"[0.932394669673658, 0.9404170253538863, 0.9443836363727156, 0.9480792655864221, 0.954616696808441]","[0.8087637358788357, 0.8453885650847944, 0.8241367209895547, 0.8400663054651715, 0.8438299272860553]","[0.9996621734956684, 0.9994043750624653, 0.9996567547832013, 0.9996556314862953, 0.9997481187058461]","[2.740820579048162, 2.7852099655011457, 2.7681771121454717, 2.787801202537889, 2.7981947428003426]",0.9439782587590246,0.8324370509408823,0.9996254107066953,2.776040720406602,0.020077247799334966
12,224,30,12,1,sqrt,False,entropy,balanced_subsample,"[0.9336092021626823, 0.9529594690244813, 0.9438397341191487, 0.94811561408438, 0.954371423132909]","[0.8030575197918968, 0.8390949689400118, 0.8206387580315494, 0.8333119446152714, 0.8402684839886342]","[0.999647455845944, 0.9993303852119324, 0.9996486229739007, 0.9996339636437854, 0.9997310909069788]","[2.736314177800523, 2.7913848231764256, 2.7641271151245985, 2.7810615223434367, 2.794370998028522]",0.9465790885047204,0.8272743350734727,0.9995983037165083,2.773451727294701,0.021369449085912977
13,221,41,15,3,sqrt,False,entropy,balanced_subsample,"[0.9376929135634462, 0.9598107023901262, 0.9574703472754414, 0.9608575687624427, 0.95917458835573]","[0.7915726101864432, 0.8291618338011889, 0.8107090800355994, 0.8259304648494852, 0.8148071497860642]","[0.9995214131297635, 0.9990866792184634, 0.999543276331945, 0.999466931657548, 0.9996247424383148]","[2.728786936879653, 2.7880592154097785, 2.7677227036429857, 2.786254965269476, 2.773606480580109]",0.9550012240694373,0.8144362277317562,0.9994486085552069,2.7688860603564,0.02145163957423686
14,178,49,10,1,sqrt,False,entropy,balanced_subsample,"[0.9160218230256981, 0.9424626640691042, 0.9346308374873881, 0.925248717813784, 0.9616588501011389]","[0.8150094066947211, 0.8566658841906952, 0.8396162879109922, 0.8490473393790724, 0.8543427580717214]","[0.9971175980627035, 0.9973137461658556, 0.9994827736090128, 0.9995680229468483, 0.9997237410100684]","[2.728148827783123, 2.796442294425655, 2.7737298990073933, 2.7738640801397048, 2.815725349182929]",0.9360045784994225,0.8429363352494406,0.9986411763588977,2.777582090107761,0.029267476550741
15,153,50,9,3,sqrt,False,entropy,balanced_subsample,"[0.9355048453529032, 0.9580213877438457, 0.9510925700723187, 0.9609944516596471, 0.9583734811994208]","[0.7925613442446511, 0.838614979020868, 0.810747921199653, 0.8235698462095579, 0.8154144238085063]","[0.9995126957159073, 0.9991225085147226, 0.9994533222496509, 0.9994137582913082, 0.9996062464319755]","[2.7275788853134615, 2.7957588752794362, 2.7612938135216227, 2.783978056160513, 2.7733941514399025]",0.952797347205627,0.8161817028966473,0.9994217062407129,2.768400756342987,0.023379421406686918
16,188,50,10,2,sqrt,False,gini,balanced_subsample,"[0.934543996789101, 0.9533057218531673, 0.9576973725005011, 0.9546620783879525, 0.9538711313725348]","[0.8103988827404267, 0.8457870378732008, 0.8261248142519974, 0.8424728249089474, 0.8410872459566795]","[0.9996317564736548, 0.999346835648271, 0.9996490674883831, 0.999643245947035, 0.9997166544035773]","[2.7445746360031826, 2.798439595374639, 2.7834712542408817, 2.7967781492439348, 2.7946750317327917]",0.9508160601806515,0.8331741611462503,0.9995975119921843,2.7835877333190857,0.020196674946426442
