trial_number,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_min_child_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,105,44,0.0036135061614943017,0.9674443631751686,0.7953644755179317,3.0587193145132288,0.6753661388238881,0.039092184460352966,3,"[0.9320217945534387, 0.9508486097628093, 0.9515675657813051, 0.9504750328055773, 0.9446326974506581]","[0.720696884795505, 0.7316288126271152, 0.756718375667387, 0.7547713088723107, 0.7600461015383532]","[0.9988167889271427, 0.998717426992388, 0.9990508919260428, 0.9989816178973037, 0.9991129081363722]","[2.6515354682760863, 2.6811948493823126, 2.7073368333747347, 2.7042279595751917, 2.7037917071253834]",0.9459091400707578,0.7447722967001342,0.9989359267758499,2.6896173635467417,0.02121099071440214
1,97,6,0.09840750239066827,0.7765236891583812,0.6633239470850605,4.399685156006394,0.002346563493928448,0.011780808470802364,3,"[0.9533210701663143, 0.9523960217893861, 0.9557425433549274, 0.950847136758742, 0.9495646708062461]","[0.7459076138375365, 0.7855635647669843, 0.7769975679673742, 0.7828537468697513, 0.7739783168174891]","[0.9994681680379255, 0.9994590715692497, 0.9995602026755789, 0.9996141400882677, 0.9995660662080101]","[2.6986968520417762, 2.73741865812562, 2.7323003139978805, 2.733315023716761, 2.7231090538317453]",0.9523742885751233,0.773060162051827,0.9995335297158064,2.7249679803427567,0.013943338317276682
2,207,30,0.04160934759488075,0.7063276470142029,0.7138743522565455,1.2679410288689374,0.00434329910491392,0.0005258011156566108,2,"[0.9272270514367489, 0.9462619856223934, 0.9556467764618488, 0.9550358433148446, 0.9521918387843606]","[0.7802155862794136, 0.8309258686108033, 0.8177357843510177, 0.8247566675953619, 0.8196743681588962]","[0.9995993795403462, 0.999613487088908, 0.9996102829775804, 0.9996859692387288, 0.9996825077254384]","[2.7070420172565086, 2.7768013413221047, 2.7729928437904467, 2.7794784801489354, 2.7715487146686955]",0.9472726991240392,0.8146616549990986,0.9996383253142003,2.761572679437338,0.027408262960622015
3,291,49,0.003224968699205516,0.6097226246517947,0.6818222185519802,3.4992180706327876,0.7899014804268756,0.00013021633333142087,6,"[0.930062659671593, 0.9514669335818876, 0.9530359078437074, 0.9458287242973626, 0.9522336306287319]","[0.7200253022272279, 0.7300558143606232, 0.7463837295893516, 0.7379662256431075, 0.7493575882195903]","[0.9987770813676922, 0.9988597950930783, 0.9989496193461441, 0.9989794266452037, 0.9990823974693511]","[2.648865043266513, 2.680382543035589, 2.6983692567792033, 2.682774376585674, 2.7006736163176734]",0.9465255712046565,0.7367577320079801,0.998929663984294,2.682212967196931,0.018534135656169976
4,50,27,0.05330745994987841,0.9942497611216755,0.7036390385644423,4.0124844263143515,2.2512070233297012,4.109112860613995,1,"[0.9328844515783051, 0.9511193525071873, 0.9576918028668192, 0.9568966430206555, 0.9429340511911967]","[0.7268481707202086, 0.7408212836118964, 0.7729110274924962, 0.7413100560092408, 0.7447661524403615]","[0.9992563718947135, 0.9992261769315383, 0.9995354915846439, 0.9995118228381947, 0.9994878908338382]","[2.658988994193227, 2.691166813050622, 2.7301383219439592, 2.697718521868091, 2.6871880944653963]",0.9483052602328327,0.7453313380548406,0.9994035508165856,2.693040149104259,0.022783321452337947
5,167,50,0.011932736734320569,0.9254929910347672,0.8185825991889911,3.854270435701123,0.02658614536069637,0.00013981630427584716,1,"[0.9255657228344484, 0.9519103618332501, 0.9499701512640971, 0.949732386542378, 0.9424488808544718]","[0.7289952553477751, 0.7571042522461194, 0.7811399849723056, 0.778620601574348, 0.7806280611815649]","[0.9992890905966886, 0.9993681212272744, 0.9994026435701202, 0.9995124488618883, 0.9995077361676207]","[2.653850068778912, 2.708382735306644, 2.730512779806523, 2.727865436978614, 2.722584678203657]",0.9439255006657291,0.7652976310644226,0.9994160080847184,2.7086391398148697,0.028441141743331066
6,77,15,0.4020475604611192,0.8527064210950981,0.9266640810461447,2.8304099804637817,0.15023842701295823,1.1468640935621301,10,"[0.9137463788414982, 0.9453650433742138, 0.9481955203838867, 0.9397772366726196, 0.9429828162151717]","[0.7489136573119234, 0.7819362899955331, 0.7895409575943245, 0.7861519469952784, 0.7795706373470093]","[0.9993958099471162, 0.9990033461219057, 0.9993706441276512, 0.9993380782538124, 0.9994931147944647]","[2.6620558461005377, 2.7263046794916526, 2.7371071221058623, 2.7252672619217106, 2.7220465683566455]",0.938013399097478,0.7772226978488137,0.99932019864899,2.714556295595282,0.026734586150986138
7,279,42,0.0017957684968767861,0.7444193673855236,0.614203612704132,2.7317917427040346,0.9565630572552095,0.00018018308379632455,2,"[0.9409548214083024, 0.9585125494049633, 0.9579427710046926, 0.9472128536772001, 0.9501897438791466]","[0.7384072120972676, 0.7578920723995212, 0.7682262324503174, 0.7651663745796042, 0.7885169460562175]","[0.9991728508675247, 0.9992614106770293, 0.9993027712038276, 0.9992888302327004, 0.9994064221006123]","[2.6785348843730947, 2.715666032481514, 2.7254717746588377, 2.7116680584895048, 2.7381131120359763]",0.950962547874861,0.7636417675165856,0.9992864570163388,2.7138907724077854,0.019894583053765076
8,141,14,0.1399320640668851,0.7408379743065474,0.8555510728241461,2.4670752594837984,0.08269870685126159,4.971606645048828,10,"[0.9216278843770559, 0.9416771612615711, 0.9503048720305475, 0.947826577745529, 0.9527541986772343]","[0.7576288481258713, 0.7876296406057114, 0.7907299892209911, 0.7903075348718311, 0.774481623669699]","[0.9994903906091686, 0.999049480143516, 0.9992905169536463, 0.9994691839375873, 0.9994601827284372]","[2.678747123112096, 2.7283562820107985, 2.740325378205185, 2.7376032965549477, 2.7266960050753704]",0.9428381388183876,0.7801555272988209,0.9993519508744712,2.7223456169916793,0.022414063611799172
9,78,43,0.008588545133456147,0.6403309091450581,0.7533636264268461,2.5517739866962397,6.390214109815834,0.0072038237149441514,1,"[0.9333663679710736, 0.9545582149432404, 0.9562289497556326, 0.9438050141640466, 0.9520768298315885]","[0.710192046298809, 0.7101110273470159, 0.7310754194886064, 0.7233627886329336, 0.7519716826421019]","[0.9988195607395103, 0.9986433817481319, 0.9990611287418377, 0.9989908200447638, 0.9990684975771348]","[2.642377975009393, 2.6633126240383884, 2.6863654979860767, 2.6661586228417438, 2.7031170100508253]",0.9480070753331165,0.7253425928818933,0.9989166777702756,2.6722663459852853,0.020791044700636276
10,232,32,0.027068715309007726,0.6786485160856603,0.9948686034129257,0.7639396204239381,0.00012721396730845666,0.0017676774632275755,6,"[0.9163429732436958, 0.9296895205145108, 0.9512544363544565, 0.9483823724198462, 0.9249751248454817]","[0.7606877837928013, 0.8046896422464307, 0.78465151023731, 0.7963035855525448, 0.7844775334011118]","[0.9992214308203351, 0.9993815902328308, 0.9990760668083162, 0.9993863513694337, 0.9992994484889612]","[2.676252187856832, 2.7337607529937724, 2.734982013400083, 2.7440723093418247, 2.7087521067355547]",0.9341288854755982,0.7861620110460397,0.9992729775439754,2.719563874065613,0.024628155702664432
11,215,3,0.10434240044507354,0.8218181884555024,0.6307404196177402,4.897451757331361,0.002098117609408262,0.08510073565333563,4,"[0.9341089379511976, 0.9383680782257302, 0.9590616020922395, 0.955085756458632, 0.9583549455658426]","[0.7315053540957187, 0.7720736172207683, 0.7781181242345927, 0.7826873225063399, 0.7774367652015779]","[0.9995019924722207, 0.9993902468929163, 0.9994699976903085, 0.9996132402927929, 0.9995803742046715]","[2.665116284519137, 2.709831942339415, 2.736649724017141, 2.737386319257765, 2.735372084972092]",0.9489958640587284,0.7683642366517994,0.999511170310582,2.71687127102111,0.027865625060370266
12,209,20,0.294213726943106,0.7424548863787068,0.728358310121977,1.0414812808265546,0.003683636606152656,0.001761602378169194,4,"[0.9472341670385634, 0.932050282338069, 0.9552928185069469, 0.9526464349629853, 0.9414325118770427]","[0.8102972682872849, 0.8161919525551707, 0.8224065487191632, 0.8263891736338066, 0.8079244357045229]","[0.9989536953347308, 0.9984763534323587, 0.9991588845923429, 0.9994241612352884, 0.9993974377023462]","[2.7564851306605793, 2.7467185883255985, 2.776858251818453, 2.7784597698320805, 2.748754385283912]",0.9457312429447216,0.8166418757799898,0.9990821064594135,2.7614552251841245,0.013635170756730855
13,216,20,0.4532827900061289,0.6956040151281395,0.7355315481286688,1.0193485032728384,0.0035601251013806165,0.0015807317659095473,5,"[0.9177597731172011, 0.9325944836342892, 0.9451757042704924, 0.9511952216730983, 0.9358019327528726]","[0.7698363073153903, 0.8068879096275174, 0.8140421098694511, 0.8023011071396966, 0.8057111610068872]","[0.997514781070591, 0.9984637454592097, 0.998861154548472, 0.9986433247538588, 0.999383788205301]","[2.6851108615031825, 2.7379461387210164, 2.7580789686884155, 2.752139653566654, 2.7408968819650608]",0.9365054230895907,0.7997557189917884,0.9985733588074865,2.7348345008888657,0.025917749364305593
14,243,33,0.1975704349475903,0.6963432086381569,0.7614160164900103,1.550237174231046,0.00027334307258009065,0.0009848052536577966,8,"[0.94078343773804, 0.9358850911171984, 0.9498293931954298, 0.948424152430691, 0.9318029124122605]","[0.7964607687666393, 0.805807092940498, 0.8042480179255633, 0.8143565441261665, 0.8034273627442581]","[0.9994150737459183, 0.9988412248982067, 0.9993470726788144, 0.9994450240546464, 0.9993773978458576]","[2.7366592802505973, 2.740533408955903, 2.7534244837998076, 2.7622257206115037, 2.734607673002376]",0.9413449973787239,0.804859957300625,0.9992851586446886,2.7454901133240375,0.010620874017194974
15,184,23,0.036423216019156164,0.8714546285090746,0.8457353227323297,0.006684051434506566,0.009764069554350788,0.0011311216858531697,4,"[0.9443222049355537, 0.9451730094191079, 0.9514686311687858, 0.9534038209242237, 0.9330713688562631]","[0.7913044938535121, 0.8258990389053377, 0.8147793066425045, 0.8252579139577234, 0.8067227206217441]","[0.9994491669750737, 0.9995176881826506, 0.9992934967930438, 0.999601603899, 0.9995482709081842]","[2.7350758657641396, 2.7705897365070964, 2.765541434604334, 2.7782633387809472, 2.7393423603861913]",0.9454878070607868,0.8127926947961643,0.9994820453515905,2.7577625472085416,0.017316576607647693
16,178,31,0.015095773464294495,0.7799781608256988,0.7120943086326046,1.8634550785125632,0.0006505078817999344,0.23790955608488643,7,"[0.9331421938640249, 0.9521306427300328, 0.9506999186383637, 0.9556288452230874, 0.9516810555379629]","[0.7308967269051878, 0.7524829754413597, 0.7642493196052095, 0.7440354788935502, 0.7510275577120027]","[0.9992681437164035, 0.9992820383021608, 0.9994235554976436, 0.9994511068916901, 0.9994788913355067]","[2.663307064485616, 2.703895656473553, 2.7143727937412168, 2.6991154310083276, 2.7021875045854724]",0.9486565311986943,0.7485384117114618,0.9993807471486811,2.696575690058837,0.01740725711705892
17,253,37,0.06800532948007419,0.746953194707557,0.7919826693003509,0.11293301936075073,0.012234884950744597,0.005872534654591555,3,"[0.9384449021289935, 0.9358030621524307, 0.9474459531502459, 0.9542742445978649, 0.9381597089169317]","[0.8244222425766361, 0.8413336113115573, 0.8291651692294714, 0.8400841727794773, 0.8319103109609762]","[0.9995564054710484, 0.9993607852695356, 0.9994768244494605, 0.9996368639275154, 0.9995666589605687]","[2.762423550176678, 2.7764974587335236, 2.776087946829178, 2.793995281304858, 2.7696366788384763]",0.9428255741892932,0.8333831013716237,0.9995195076156257,2.7757281831765424,0.010474041943391193
18,262,37,0.06197325432281272,0.6512437030422177,0.8778882042346288,0.013308946976177655,0.020303418387671617,0.010012174204623412,2,"[0.9385767861727843, 0.9325314499759929, 0.9396253667339434, 0.9312459689642076, 0.9310664235014383]","[0.8277945956433852, 0.8449204392803402, 0.8286293467022032, 0.8334707225199729, 0.8299894868389857]","[0.9995335848490372, 0.9993110452426748, 0.9992238914735577, 0.9996021788411552, 0.9994983746583537]","[2.7659049666652065, 2.7767629344990077, 2.767478604909704, 2.7643188703253356, 2.7605542849987774]",0.9346091990696733,0.8329609181969774,0.9994338150129558,2.7670039322796063,0.005394046191701618
19,258,36,0.06907034136006061,0.6416585799526806,0.9049749970252432,0.1753543791534744,0.0454954127367088,0.009083977770104045,3,"[0.9386667092532448, 0.9316447509032436, 0.9473783055730068, 0.9513336684844124, 0.9339264155165313]","[0.8098099474380203, 0.8360011430358759, 0.8291063490083271, 0.830449576796354, 0.8280331781047504]","[0.9995108804539846, 0.9992033913324481, 0.9993400793611725, 0.9995946095282293, 0.9994905855842802]","[2.74798753714525, 2.766849285271568, 2.7758247339425064, 2.7813778548089956, 2.761450179205562]",0.9405899699460878,0.8266800388766654,0.9994279092520229,2.766697918074777,0.011631331309870317
20,265,39,0.017259362254098118,0.6423764217232856,0.9125257227153916,0.5550932745460753,0.02073922143128426,0.20729801258639868,2,"[0.9434594834615564, 0.9483143481522799, 0.9479034925997419, 0.9486762061165678, 0.9385790783912742]","[0.7748308359456467, 0.8210939695781933, 0.8011979874840733, 0.8212068652283597, 0.8011901534441647]","[0.999321200600814, 0.999491170964642, 0.9992109004786848, 0.9994973430120889, 0.9995038128700229]","[2.717611520008017, 2.7688994886951153, 2.7483123805625, 2.769380414357016, 2.7392730447054614]",0.945386521744284,0.8039039623360875,0.9994048855852504,2.748695369665622,0.019448445169151604
21,256,35,0.06644509785673189,0.6101352108621385,0.89574518664579,0.01470203652992906,0.1246181152324527,0.007562904136821367,3,"[0.9382654970096027, 0.9270104322098809, 0.9428116580440044, 0.9462263284170723, 0.9339516408286025]","[0.8133559579594869, 0.8336025097778016, 0.8270405668218301, 0.8280029054874042, 0.827264710323123]","[0.9995239582332388, 0.9991014824619144, 0.9991269448831823, 0.9995979886636147, 0.9994674089226891]","[2.7511454132023285, 2.759714424449597, 2.768979169749017, 2.7738272225680913, 2.7606837600744147]",0.9376531113018325,0.8258533300739291,0.9993635566329278,2.7628699980086897,0.007868747283673939
22,298,38,0.07194186514085386,0.6540002111163508,0.9553063205947697,0.4302571181431689,0.06293007007918786,0.012394598341558549,5,"[0.9381657642252442, 0.9323098254687552, 0.9471506760689469, 0.9509542597006205, 0.9313595063206569]","[0.8069253147639646, 0.8140679625201872, 0.8224600183736065, 0.8238467295108259, 0.8107128838381302]","[0.999532994384401, 0.9991787216438507, 0.9992182243416897, 0.9995510422043747, 0.9994647508459364]","[2.74462407337361, 2.745556509632793, 2.768828918784243, 2.7743520314158214, 2.7415371410047236]",0.9399880063568447,0.8156025818013429,0.9993891466840505,2.7549797348422382,0.013739184817706565
23,262,36,0.19253873385285558,0.6642287676690783,0.8727960019693956,0.3873668154209734,0.011974070495692518,0.028021689903254696,3,"[0.9387209315985869, 0.9458295550642384, 0.9471169062300802, 0.932339387927851, 0.9368098304080766]","[0.8155618995837258, 0.8444912551835886, 0.8299831773972134, 0.8332086487246728, 0.8217992579769843]","[0.9991772730971149, 0.998779216421231, 0.99876851199702, 0.9993853089597772, 0.9994281095466975]","[2.7534601042794273, 2.789100026669058, 2.7758685956243134, 2.764933345612301, 2.7580371979317584]",0.9401633222457665,0.829008847773237,0.9991076840043682,2.7682798540233717,0.012859274418967937
24,275,27,0.21117019161931316,0.7230816834044869,0.8641433264045514,1.9775546649849896,0.01401820436284305,0.038951800924852474,2,"[0.9238585168509433, 0.9421295160899558, 0.9460436044407055, 0.9495337828291207, 0.9389677600480241]","[0.7798101222038504, 0.8267510417289476, 0.8116443094244175, 0.8223357117227017, 0.8126662794062602]","[0.9984699876002833, 0.998290097581279, 0.9980832644514567, 0.9989598927626194, 0.9992027133962716]","[2.702138626655077, 2.7671706554001823, 2.7557711783165795, 2.770829387314442, 2.750836752850556]",0.9401066360517498,0.8106414928972354,0.998601191158382,2.7493493201073678,0.024703423139760393
25,243,46,0.16134133949300972,0.6718565202605696,0.8135842972484391,0.5345110471614384,0.2983938809091431,0.004361781590920225,4,"[0.9415800297577362, 0.9364492793780101, 0.9427838101588846, 0.9493620785564642, 0.9354962002806338]","[0.8100470803078349, 0.8177587820551898, 0.822306055013408, 0.8343646055096942, 0.8090770606429933]","[0.9993109380345515, 0.9988198020816743, 0.999322661756071, 0.9995273643838682, 0.9994734848415083]","[2.7509380481001227, 2.753027863514874, 2.7644125269283637, 2.7832540484500266, 2.7440467457651354]",0.9411342796263458,0.8187107167058241,0.9992908502195347,2.759135846551705,0.013723872175037557
