Source,Source_Class,Feature,SHAP_Value,Rank
Arts and crafts and etiquette supplies manufacturing,0,Ca3SiO5,0.00016393,1
Arts and crafts and etiquette supplies manufacturing,0,Ca3(PO4)2,0.00013097,2
Arts and crafts and etiquette supplies manufacturing,0,CaF2,0.00004777,3
Arts and crafts and etiquette supplies manufacturing,0,Ca2SiO4,0.00004578,4
Arts and crafts and etiquette supplies manufacturing,0,CaO,0.00004524,5
Arts and crafts and etiquette supplies manufacturing,0,Au,0.00001140,6
Arts and crafts and etiquette supplies manufacturing,0,MgO,0.00000892,7
Arts and crafts and etiquette supplies manufacturing,0,PbSO4,0.00000388,8
Arts and crafts and etiquette supplies manufacturing,0,(NH4)2BeF4,0.00000300,9
Arts and crafts and etiquette supplies manufacturing,0,Be(OH)2,0.00000257,10
Arts and crafts and etiquette supplies manufacturing,0,Pd,0.00000242,11
Arts and crafts and etiquette supplies manufacturing,0,Be2(OH)2SO4,0.00000213,12
Arts and crafts and etiquette supplies manufacturing,0,Co(OH)2,0.00000095,13
Arts and crafts and etiquette supplies manufacturing,0,MgCO3,0.00000092,14
Arts and crafts and etiquette supplies manufacturing,0,Cu2Sb,0.00000091,15
Arts and crafts and etiquette supplies manufacturing,0,Mn(OH)2,0.00000077,16
Arts and crafts and etiquette supplies manufacturing,0,Cd(OH)2,0.00000076,17
Arts and crafts and etiquette supplies manufacturing,0,Zn(OH)2,0.00000061,18
Arts and crafts and etiquette supplies manufacturing,0,Na2Nb2O6,0.00000060,19
Arts and crafts and etiquette supplies manufacturing,0,Ba0.9Eu0.1Mg2Al16O27,0.00000041,20
Arts and crafts and etiquette supplies manufacturing,0,Pb(OH)2,0.00000038,21
Arts and crafts and etiquette supplies manufacturing,0,CuO,0.00000029,22
Arts and crafts and etiquette supplies manufacturing,0,MoO3,0.00000025,23
Arts and crafts and etiquette supplies manufacturing,0,HgO,0.00000006,24
Arts and crafts and etiquette supplies manufacturing,0,Ca5H2(AsO4)4,-0.00000001,25
Arts and crafts and etiquette supplies manufacturing,0,KAl2(AlSi3O10)(OH)2,-0.00000006,26
Arts and crafts and etiquette supplies manufacturing,0,LaNi5,-0.00000007,27
Arts and crafts and etiquette supplies manufacturing,0,FeCuS2,-0.00000008,28
Arts and crafts and etiquette supplies manufacturing,0,PtO2,-0.00000009,29
Arts and crafts and etiquette supplies manufacturing,0,CuFeS2,-0.00000011,30
Arts and crafts and etiquette supplies manufacturing,0,Cu5FeS4,-0.00000011,31
Arts and crafts and etiquette supplies manufacturing,0,Cu2(OH)2CO3,-0.00000011,32
Arts and crafts and etiquette supplies manufacturing,0,CaCl2,-0.00000014,33
Arts and crafts and etiquette supplies manufacturing,0,FeCr,-0.00000014,34
Arts and crafts and etiquette supplies manufacturing,0,PbSiO3,-0.00000014,35
Arts and crafts and etiquette supplies manufacturing,0,CaAl2Si2O8,-0.00000016,36
Arts and crafts and etiquette supplies manufacturing,0,Cu2O,-0.00000018,37
Arts and crafts and etiquette supplies manufacturing,0,K2SO4,-0.00000022,38
Arts and crafts and etiquette supplies manufacturing,0,MgSO4,-0.00000024,39
Arts and crafts and etiquette supplies manufacturing,0,CaHPO4,-0.00000026,40
Arts and crafts and etiquette supplies manufacturing,0,Cu3AsS4,-0.00000027,41
Arts and crafts and etiquette supplies manufacturing,0,Mn(TaO3)2,-0.00000028,42
Arts and crafts and etiquette supplies manufacturing,0,γ-Cd(OH)2,-0.00000032,43
Arts and crafts and etiquette supplies manufacturing,0,KOH,-0.00000033,44
Arts and crafts and etiquette supplies manufacturing,0,MoS3,-0.00000034,45
Arts and crafts and etiquette supplies manufacturing,0,γ-NiOOH,-0.00000035,46
Arts and crafts and etiquette supplies manufacturing,0,Cu(OH)2(CO3)2,-0.00000036,47
Arts and crafts and etiquette supplies manufacturing,0,MnS,-0.00000042,48
Arts and crafts and etiquette supplies manufacturing,0,Ca(AsO2)2,-0.00000042,49
Arts and crafts and etiquette supplies manufacturing,0,Cu0.52Mo6S7.82,-0.00000042,50
Arts and crafts and etiquette supplies manufacturing,0,Fe(OH)2,-0.00000043,51
Arts and crafts and etiquette supplies manufacturing,0,ZnCl2,-0.00000044,52
Arts and crafts and etiquette supplies manufacturing,0,Na2WO4,-0.00000049,53
Arts and crafts and etiquette supplies manufacturing,0,Al2O3·2SiO2·2H2O,-0.00000050,54
Arts and crafts and etiquette supplies manufacturing,0,Ce0.67Tb0.33MgAl11O19,-0.00000051,55
Arts and crafts and etiquette supplies manufacturing,0,PdO,-0.00000058,56
Arts and crafts and etiquette supplies manufacturing,0,Fe(NbO3)2,-0.00000062,57
Arts and crafts and etiquette supplies manufacturing,0,Zn2SiO4,-0.00000066,58
Arts and crafts and etiquette supplies manufacturing,0,2MgO·2Al2O3·5SiO2,-0.00000071,59
Arts and crafts and etiquette supplies manufacturing,0,PtO,-0.00000075,60
Arts and crafts and etiquette supplies manufacturing,0,La2O3,-0.00000075,61
Arts and crafts and etiquette supplies manufacturing,0,CaP4O11,-0.00000083,62
Arts and crafts and etiquette supplies manufacturing,0,Al0.5Si0.75O2.25,-0.00000085,63
Arts and crafts and etiquette supplies manufacturing,0,Ca3(AsO4)2,-0.00000086,64
Arts and crafts and etiquette supplies manufacturing,0,Rh2O3,-0.00000087,65
Arts and crafts and etiquette supplies manufacturing,0,PdO2,-0.00000089,66
Arts and crafts and etiquette supplies manufacturing,0,Zr0.72Y0.28O1.86,-0.00000091,67
Arts and crafts and etiquette supplies manufacturing,0,Zr0.86Ca0.14O1.86,-0.00000092,68
Arts and crafts and etiquette supplies manufacturing,0,CuSO4,-0.00000099,69
Arts and crafts and etiquette supplies manufacturing,0,CaMg(CO3)2,-0.00000100,70
Arts and crafts and etiquette supplies manufacturing,0,MgCl2,-0.00000101,71
Arts and crafts and etiquette supplies manufacturing,0,(Y0.95Eu0.05)2O3,-0.00000102,72
Arts and crafts and etiquette supplies manufacturing,0,Ca(Zn(OH)3)2·2H2O,-0.00000108,73
Arts and crafts and etiquette supplies manufacturing,0,PbO,-0.00000108,74
Arts and crafts and etiquette supplies manufacturing,0,FeOOH,-0.00000110,75
Arts and crafts and etiquette supplies manufacturing,0,NiAl2O4,-0.00000113,76
Arts and crafts and etiquette supplies manufacturing,0,Fe,-0.00000114,77
Arts and crafts and etiquette supplies manufacturing,0,2FeO·2Al2O3·5SiO2,-0.00000122,78
Arts and crafts and etiquette supplies manufacturing,0,Re2O3,-0.00000132,79
Arts and crafts and etiquette supplies manufacturing,0,Ni2V2O7,-0.00000136,80
Arts and crafts and etiquette supplies manufacturing,0,Fe2O3,-0.00000138,81
Arts and crafts and etiquette supplies manufacturing,0,Pt,-0.00000141,82
Arts and crafts and etiquette supplies manufacturing,0,RhO2,-0.00000147,83
Arts and crafts and etiquette supplies manufacturing,0,WS2,-0.00000153,84
Arts and crafts and etiquette supplies manufacturing,0,Zn,-0.00000156,85
Arts and crafts and etiquette supplies manufacturing,0,Ni,-0.00000158,86
Arts and crafts and etiquette supplies manufacturing,0,TiO2,-0.00000194,87
Arts and crafts and etiquette supplies manufacturing,0,zeolite,-0.00000198,88
Arts and crafts and etiquette supplies manufacturing,0,K2O,-0.00000203,89
Arts and crafts and etiquette supplies manufacturing,0,MoS2,-0.00000213,90
Arts and crafts and etiquette supplies manufacturing,0,PbFe6(SO4)4(OH)12,-0.00000227,91
Arts and crafts and etiquette supplies manufacturing,0,Ca8H2(PO4)6·2H2O,-0.00000233,92
Arts and crafts and etiquette supplies manufacturing,0,Ca(H2PO2)2,-0.00000234,93
Arts and crafts and etiquette supplies manufacturing,0,Cd,-0.00000235,94
Arts and crafts and etiquette supplies manufacturing,0,Pb3O4,-0.00000255,95
Arts and crafts and etiquette supplies manufacturing,0,WO3,-0.00000272,96
Arts and crafts and etiquette supplies manufacturing,0,PbO2,-0.00000272,97
Arts and crafts and etiquette supplies manufacturing,0,Au(OH)3,-0.00000281,98
Arts and crafts and etiquette supplies manufacturing,0,ZnO,-0.00000282,99
Arts and crafts and etiquette supplies manufacturing,0,As2S3,-0.00000295,100
Arts and crafts and etiquette supplies manufacturing,0,ZnSO4,-0.00000326,101
Arts and crafts and etiquette supplies manufacturing,0,KCl,-0.00000329,102
Arts and crafts and etiquette supplies manufacturing,0,Ca5(PO4)3OH,-0.00000340,103
Arts and crafts and etiquette supplies manufacturing,0,Cr(OH)3,-0.00000348,104
Arts and crafts and etiquette supplies manufacturing,0,NiS,-0.00000360,105
Arts and crafts and etiquette supplies manufacturing,0,Bi2O3,-0.00000389,106
Arts and crafts and etiquette supplies manufacturing,0,Pb,-0.00000396,107
