class,feature,avg_shap_when_1,avg_shap_when_0
0,CaSO4,-4.202095466853341e-05,2.0468985812309264e-05
0,CaCO3,-5.6506149077526606e-05,1.1125801126199583e-05
0,SiO2,-7.442096738447752e-06,-1.6334742144984854e-05
0,Fe(OH)3,-7.571100438326185e-05,1.6635363962686086e-05
0,Al(OH)3,-1.9359763406123942e-05,-8.387116655235035e-06
0,C,-7.646034982011513e-05,6.873758854586291e-06
0,Cr(OH)3,-5.555564012012966e-05,4.1443626795815715e-06
0,ZnO,-5.168410841707423e-05,1.8867195246005277e-05
0,Al2O3,3.913042849471728e-05,-4.164859386676732e-05
0,Fe2O3,5.647958104655698e-05,-1.9803150153743375e-05
0,PbO,4.1076653551730364e-05,-2.0359164573062785e-05
0,CuS,-2.975011321731106e-05,-2.140556421629259e-05
0,PbSO4,-6.968752365718963e-05,2.9958705444141826e-05
0,ZnS,-5.1816371984494754e-05,2.9788252305823885e-06
0,Zn(OH)2,-6.021864136078716e-05,6.844051639638235e-06
0,NaCl,-5.7490043207613906e-05,-5.479092252986135e-07
0,PbS,-6.0629180934163985e-05,1.3382046683295855e-05
0,HgS,-7.253091693446276e-05,-6.52129509744835e-07
0,As2O3,-5.650327013474054e-05,-1.4842642488864205e-07
0,Cu(OH)2,-7.514652827698531e-05,-5.307193645926419e-06
0,Ni,-8.311006104044456e-05,8.515182381736165e-06
0,Pb,2.4558988536293934e-05,-1.4029101538696585e-05
0,NiO,-8.410580027772986e-05,-3.31572866109693e-06
0,Fe3O4,-6.137427542099704e-05,-4.546901457882646e-06
0,FeS,-4.0501115575393484e-05,-4.577842675050746e-06
0,Ni(OH)2,-6.357815103137115e-05,-1.301412970100598e-06
0,CaF2,0.0006242736469234322,-1.8734655145185766e-05
0,CuO,-7.365031630614779e-05,1.586547411335394e-05
0,Na2SO4,-0.00010299533998797821,2.7870765919017247e-07
0,ZnSO4,-5.2856044399203074e-05,8.744184364650038e-06
0,Cu,-5.047317899962786e-05,-3.5143544093243466e-06
0,ZnFe2O4,-5.403047869272258e-05,7.239853709713147e-07
0,Ag,7.34488555786509e-05,-2.199403222258634e-05
0,HgO,-9.28183176975449e-05,4.303803763077709e-06
0,Fe,-4.962152777064882e-05,4.826901954646308e-06
0,Pt,-7.964525676443068e-05,4.24280719398174e-06
0,V2O5,-0.00010780564091168457,1.0142211403346038e-06
0,As2S3,-4.798063231176515e-05,2.8648228573853452e-06
0,CdS,-6.079742569096993e-05,4.548136148813684e-06
0,SnO2,-8.779006381324467e-05,3.496875816037513e-06
0,Zn,-6.949031037777962e-05,6.071799681026418e-06
0,TiO2,-7.84460818251262e-05,2.2316578358227195e-06
0,S,-3.380240891293744e-05,-5.134648425957794e-06
0,PbCO3,-2.2874208391974522e-05,-7.805789326318124e-06
0,Cr2O3,-3.167337933578331e-05,-5.264214026414347e-06
0,Mg(OH)2,-0.00016308323270160385,9.429962906291485e-06
0,Cd(OH)2,-5.917902103186699e-05,4.599106100394732e-06
0,Ag2S,-4.312643860265606e-05,2.9905757168722608e-06
0,Mn(OH)2,-7.476248450632035e-05,6.123228742586096e-06
0,KCl,-5.173513462604448e-05,-8.43432763754049e-08
0,CdO,-3.7562598939983476e-05,9.199400822966478e-08
0,PbO2,-1.8117336499216484e-05,-2.4453708563958414e-06
0,MgO,0.00035685948186983506,-2.1056438729707423e-05
0,CaO,0.0008158476978185709,-2.5440650455074866e-05
0,Cu2S,-4.106021170597308e-05,-7.874416445099528e-07
0,FeAsO4,-5.450987067545093e-05,-6.285098681637194e-07
0,Pb(OH)2,-6.329980846204987e-05,1.6007880244268908e-06
0,Ca2SiO4,0.0010204607399187902,-2.1889990223900452e-05
0,NiS,-2.8223741658162385e-05,-2.1189016729357676e-06
0,PbCl2,-4.7635686742476613e-05,-2.3402785759774415e-06
0,ZnCl2,-6.994990938827923e-05,1.537609638103916e-06
0,Cd,-3.827348435017484e-05,-6.371639702554392e-07
0,Na2CrO4,-0.00022170595235193396,3.707049319316184e-06
0,Sb,-9.485280744900336e-05,1.1410250365060146e-05
0,Bi2O3,-7.655833297547257e-05,9.479988644567912e-06
0,MoS2,8.397222636782489e-05,-2.7046195557837924e-06
0,CaMg(CO3)2,-0.00010151495512533823,-6.715231291445742e-07
0,Sb2O3,-7.236591268261734e-05,7.20999358830564e-06
0,WO3,3.2216819560176286e-05,-3.1342092420462885e-06
0,Pd,-5.130870613908564e-05,5.49461395461527e-06
0,MoO3,-0.00011666983570136964,2.7297687080550886e-06
0,zeolite,-8.990451876380021e-05,1.9510606136628867e-06
0,Ca(AsO2)2,-4.453404073929887e-05,2.9190877453431276e-06
0,Ca3(AsO4)2,-5.612377628725417e-05,3.3204703880032263e-06
0,Ca(OH)2,-5.668645085596849e-05,-1.6669604773035626e-06
0,MgCO3,-6.756701830239928e-05,4.974698221991737e-06
0,CaHPO4,-7.543212882318909e-05,1.8880670657004834e-06
0,FeCr2O4,6.363849401877846e-05,-8.806354848293803e-06
0,MnS,-8.933414618162515e-05,-2.591846799196933e-07
0,Au,0.0003141823368034311,-2.201856794758042e-05
0,Sb2S3,-5.817805529777634e-05,-2.7412794206447795e-06
0,FeS2,-3.5840842430227664e-05,-2.3446075549402646e-06
0,PbFe6(SO4)4(OH)12,-3.774739272192609e-05,2.0338938133527545e-06
0,Zn2SiO4,-4.431815982291214e-05,4.5060600419114305e-06
0,Cu5As2,-5.4620576772322837e-05,1.656856389823966e-06
0,Cu2Sb,-4.896123285530653e-05,6.687627907710326e-06
0,WS2,-6.511899321603807e-05,-4.715247853155953e-07
0,CeO2,-0.000141787508450597,-3.7490536562907193e-06
0,Ca3(PO4)2,0.006409972654939078,-2.0901487837068022e-05
